Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Shipwreck - Sappho,Victoria,Wilsons Promontory,Maritime/Coastal,01/02/1858,01/02/1858,50,N/A
"Shipwreck - SIEV 221, Rocky Point, Christmas Island",Offshore,Christmas and Cocos Islands,Maritime/Coastal,15/12/2010,15/12/2010,50,2
Shipwreck - Just Cruisin ,Queensland,Brisbane,Maritime/Coastal,6/7/2001,6/7/2001,4,N/A
Shipwreck - Mineral Diamond,Western Australia,Port Hedland,Maritime/Coastal,15/4/1991,15/4/1991,27,N/A
Shipwreck - Shark Ace 4,Victoria,Cooma (VIC),Maritime/Coastal,12/5/1990,12/5/1990,3,1
Shipwreck â€“ Nâ€™glucka ,New South Wales,Sydney,Maritime/Coastal,8/1/1990,8/1/1990,5,N/A
Shipwreck - Great Expectations,Tasmania,Launceston,Maritime/Coastal,4/1/1990,4/1/1990,6,N/A
Shipwreck - Booya,Northern Territory,Darwin,Maritime/Coastal,24/12/1974,24/12/1974,5,N/A
Shipwreck - Mandorah Queen,Northern Territory,Darwin,Maritime/Coastal,24/12/1974,24/12/1974,3,N/A
Shipwreck - Blythe Star II,Tasmania,Launceston,Maritime/Coastal,12/10/1973,12/10/1973,3,N/A
Shipwreck - Collision Melbourne and Nieuw Holland,Victoria,Wilsons Promontory,Maritime/Coastal,9/8/1972,9/8/1972,5,N/A
Shipwreck - Sedco Helen,Northern Territory,Darwin,Maritime/Coastal,31/1/1970,31/1/1970,9,N/A
Shipwreck - Noongah,New South Wales,Tamworth,Maritime/Coastal,25/8/1969,25/8/1969,21,N/A
Shipwreck - Port Welshpool Ship Explosion,Victoria,Wilsons Promontory,Maritime/Coastal,22/3/1969,22/3/1969,3,20
Shipwreck - Naval Collision off Jervis Bay,New South Wales,Wollongong,Maritime/Coastal,10/2/1964,10/2/1964,82,232
Shipwreck - Vicky,Victoria,Wilsons Promontory,Maritime/Coastal,25/6/1956,25/6/1956,8,N/A
Shipwreck - Fairwind,New South Wales,Tamworth,Maritime/Coastal,27/6/1950,27/6/1950,17,N/A
Shipwreck - La Grange and Unidentified,Northern Territory,Darwin,Maritime/Coastal,1/12/1948,1/12/1948,12,N/A
Shipwreck - Sibigo ,Queensland,Cooktown,Maritime/Coastal,16/3/1945,16/3/1945,72,N/A
Shipwreck - Peter Silvester,Western Australia,Bunbury,Maritime/Coastal,6/2/1945,6/2/1945,32,N/A
Shipwreck - Macumba,Northern Territory,Coburg Peninsula,Maritime/Coastal,6/8/1943,6/8/1943,3,5
Shipwreck - Wollongong,New South Wales,Wollongong,Maritime/Coastal,16/5/1943,16/5/1943,4,N/A
Shipwreck - HMAS Kuttabul ,New South Wales,Sydney,Maritime/Coastal,1/6/1942,1/6/1942,21,10
Shipwreck - Submarine l-124,Northern Territory,Darwin,Maritime/Coastal,20/1/1942,20/1/1942,75,N/A
Shipwreck - HMAS Sydney,Offshore,Outside Territorial Waters,Maritime/Coastal,19/11/1941,19/11/1941,645,N/A
Shipwreck - Goorangai,Victoria,Wilsons Promontory,Maritime/Coastal,20/11/1940,20/11/1940,24,N/A
Shipwreck - Kakariki and SS Caradale,Victoria,Melbourne,Maritime/Coastal,29/1/1937,29/1/1937,5,N/A
Shipwreck - Paringa,Victoria,Wilsons Promontory,Maritime/Coastal,26/12/1935,26/12/1935,31,N/A
Shipwreck - Lacepede Island,Western Australia,Broome,Maritime/Coastal,26/3/1935,26/3/1935,141,N/A
Shipwreck - Coramba,Victoria,Warrnambool (VIC),Maritime/Coastal,29/11/1934,30/11/1934,16,N/A
Shipwreck - Christina Fraser,Victoria,Cooma (VIC),Maritime/Coastal,24/6/1933,24/6/1933,18,N/A
Shipwreck - Casino,Victoria,Wilsons Promontory,Maritime/Coastal,10/7/1932,10/7/1932,10,N/A
Shipwreck - Greycliffe,New South Wales,Sydney,Maritime/Coastal,3/11/1927,3/11/1927,40,N/A
Shipwreck - Wyrallah,Victoria,Wilsons Promontory,Maritime/Coastal,8/4/1924,8/4/1924,6,N/A
Shipwreck - S.S. Douglas Mawson,Offshore,Territorial Waters,Maritime/Coastal,29/3/1923,29/3/1923,20,N/A
Shipwreck - Southern Cross,Tasmania,Launceston,Maritime/Coastal,12/9/1920,12/9/1920,12,N/A
Shipwreck - Amelia J,Victoria,Cooma (VIC),Maritime/Coastal,21/8/1920,21/8/1920,12,N/A
Shipwreck - Pareora,South Australia,Adelaide,Maritime/Coastal,19/9/1919,19/9/1919,11,7
"Shipwreck - Afric, Harriet, Leila, Opal",Northern Territory,Melville Island,Maritime/Coastal,25/2/1915,25/2/1915,9,N/A
Shipwreck - Antares,Victoria,Warrnambool (VIC),Maritime/Coastal,1/11/1914,1/11/1914,25,N/A
Shipwreck - Candidate ,New South Wales,Lismore (NSW),Maritime/Coastal,14/7/1912,14/7/1912,5,N/A
"Maritime/Coastal - SS Rosedale Shipwreck, NSW 1911 ",New South Wales,Crowdy Head,Maritime/Coastal,1/9/1911,,30,N/A
Shipwreck - Glenelg,Victoria,Cooma (VIC),Maritime/Coastal,25/3/1911,25/3/1911,31,N/A
Shipwreck - Yongala ,Queensland,Ayr,Maritime/Coastal,23/3/1911,23/3/1911,137,N/A
Shipwreck - Errol Middleton Reef,New South Wales,Lismore (NSW),Maritime/Coastal,18/6/1909,12/7/1909,17,N/A
Shipwreck - Loch Lomond,New South Wales,Sydney,Maritime/Coastal,19/7/1908,19/7/1908,19,N/A
Shipwreck - Orion,Tasmania,Launceston,Maritime/Coastal,6/5/1908,6/5/1908,27,N/A
Shipwreck - Alfhild,Tasmania,Hobart,Maritime/Coastal,10/10/1907,10/10/1907,11,N/A
Shipwreck - Kawatiri,Tasmania,Launceston,Maritime/Coastal,13/8/1907,13/8/1907,6,N/A
Shipwreck - Brier Holme,Tasmania,Hobart,Maritime/Coastal,5/11/1904,5/11/1904,17,N/A
Shipwreck - Acacia,Tasmania,Hobart,Maritime/Coastal,20/6/1904,20/6/1904,9,N/A
Shipwreck - Edward Lombe,New South Wales,Sydney,Maritime/Coastal,25/08/1834,,12,17
Shipwreck - The Rip Shipwwreck ,Victoria,Port Phillip Heads,Maritime/Coastal,18/07/1873,,4,N/A
Shipwreck - Federal,Victoria,Cooma (VIC),Maritime/Coastal,21/3/1901,21/3/1901,21,N/A
"Tornado - Bundaberg, Queensland 2013",Queensland,bundaberg,Tornado,26/1/2013,26/1/2013,N/A,20
Tornado - Kin Kin,Queensland,Brisbane,Tornado,14/8/1971,14/8/1971,3,N/A
Transport - Redfern Train Collision,New South Wales,Sydney,Transport,31/10/1894,31/10/1894,14,27
Transport - Cootamundra Train Derailment,New South Wales,Wollongong,Transport,25/01/1885,25/01/1885,7,20
Transport - Brisbane River Ferry Sinking,Queensland,Brisbane,Transport,13/02/1896,13/02/1896,57,N/A
"Transport – Emu Plains Train Collision, New South Wales 1878",New South Wales,Emu Plains,Transport,30/01/1878,30/01/1878,3,N/A
"Transport – Aircraft crash, Caboolture Queensland 2014",Queensland,Caboolture,Transport,22/3/2014,,5,N/A
Transport – Laos plane crash 2013,Offshore,Outside Territorial Waters,Transport,16/10/2013,16/10/2013,49,N/A
Transport - Papua New Guinea Plane Crash,Offshore,Outside Territorial Waters,Transport,11/8/2009,11/8/2009,13,N/A
Transport - Taxi and Truck Collision ,Northern Territory,Darwin,Transport,8/11/2012,8/11/2012,3,N/A
Transport - Kerang Train and Truck Collision,Victoria,Swan Hill (VIC),Transport,5/6/2007,5/6/2007,11,14
Transport â€“ Sydney Ferry Accident,New South Wales,Sydney,Transport,28/3/2007,28/3/2007,4,8
Transport - Burnley Tunnel Fire ,Victoria,Melbourne,Transport,23/3/2007,23/3/2007,3,2
Transport - Plane Crash Indonesia,Offshore,Outside Territorial Waters,Transport,7/3/2007,7/3/2007,21,12
Transport - Trawalla Train and Truck Collision,Victoria,Melbourne,Transport,28/4/2006,28/4/2006,2,18
Transport - Egypt Bus Crash,Offshore,Outside Territorial Waters,Transport,10/1/2006,10/1/2006,6,27
"Transport - Bundaberg Backpacker mini-bus accident, Queensland 2005",Queensland,Bundaberg,Transport,10/9/2005,,3,8
Transport -Mini Bus accident on Jamberoo Mountain Road,New South Wales,Wollongong,Transport,5/9/2005,5/9/2005,3,14
Transport - Lockhart River Plane Crash ,Queensland,Weipa,Transport,7/5/2005,7/5/2005,15,N/A
Transport - Navy Helicopter Accident,Offshore,Outside Territorial Waters,Transport,2/4/2005,2/4/2005,9,2
Transport - Bundaberg Tilt Train Derailment,Queensland,Bundaberg,Transport,15/11/2004,15/11/2004,N/A,100
"Transport - Bus Accident, Burnley Tunnel",Victoria,Melbourne,Transport,17/9/2004,17/9/2004,N/A,21
"Transport - St Albans, Train and Car Collision",Victoria,Melbourne,Transport,5/8/2004,5/8/2004,3,N/A
Transport â€“ Sydney Bus Accident,Victoria,Sydney,Transport,3/4/2004,3/4/2004,N/A,60
Transport - Ballan Train Collision and Derailment,Victoria,Melbourne,Transport,15/11/2003,15/11/2003,N/A,43
Transport - Waterfall Train Crash,New South Wales,Sydney,Transport,31/1/2003,31/1/2003,7,41
"Transport - Salisbury - Train, Bus and Car Collision",South Australia,Adelaide,Transport,24/10/2002,24/10/2002,4,26
Transport - Benalla Train Derailment,Victoria,Melbourne,Transport,13/10/2002,13/10/2002,3,1
Transport - Albury Bus Crash,New South Wales,Canberra (NSW),Transport,2/5/2002,2/5/2002,4,N/A
Transport - Wandandian bus crash,New South Wales,Wollongong,Transport,1/2/2001,1/2/2001,1,35
Transport - Barossa Valley School Bus Crash,South Australia,Adelaide,Transport,29/1/2001,29/1/2001,1,26
Transport - Newman Police Aircraft Crash,Western Australia,Tom Price,Transport,26/1/2001,26/1/2001,4,N/A
Transport - Capricorn Helicopter Rescue Crash,Queensland,Rockhampton,Transport,24/7/2000,24/7/2000,5,N/A
Transport - Spencer Gulf Light Aircraft Crash,South Australia,Whyalla,Transport,31/5/2000,31/5/2000,8,N/A
Transport - Glenbrook (Blue Mountains) Railway Accident,New South Wales,Sydney,Transport,2/12/1999,2/12/1999,7,51
"Transport - Gulf of Carpentaria Light Aircraft Crash, Queensland 1999",Queensland,Gulf of Carpentaria,Transport,24/11/1999,24/11/1999,6,0
Transport - Zanthus Rail Collision ,Western Australia,Rawlinna,Transport,18/8/1999,18/8/1999,N/A,45
Transport - Fiji Air Crash,Offshore,Outside Territorial Waters,Transport,24/7/1999,24/7/1999,17,N/A
Transport - Eastern Highlands Papua New Guinea Plane Crash,Offshore,Outside Territorial Waters,Transport,17/6/1999,17/6/1999,17,N/A
"Transport - Torres Strait plane crash, Queensland 1999",Queensland,Torres Strait,Transport,16/1/1999,,3,1
Transport - Albury Coach and Truck Collision,New South Wales,Canberra (NSW),Transport,13/8/1998,13/8/1998,1,25
Transport - Bookham Coach Semi-Trailer Collision,New South Wales,Canberra (NSW),Transport,7/8/1998,7/8/1998,3,19
Transport - Black Hawk Air Collision,Queensland,Townsville,Transport,12/6/1996,12/6/1996,18,12
Transport - Albany Light Aircraft Crash,Western Australia,Albany,Transport,13/3/1996,13/3/1996,4,N/A
Transport - Merredin Rail Collision,Western Australia,Merredin,Transport,13/1/1996,13/1/1996,2,1
"Transport - Williamtown to Lord Howe Island, Light Aircraft Crash",New South Wales,Cooma (NSW),Transport,2/10/1994,2/10/1994,9,N/A
Transport - Boondall (Brisbane) Bus Crash,Queensland,Brisbane,Transport,1/10/1994,1/10/1994,12,38
Transport - Wangaratta Truck and Bus Collision,Victoria,Melbourne,Transport,1/11/1993,1/11/1993,9,35
Transport - Mt Tamborine Bus Crash,Queensland,Brisbane,Transport,25/9/1990,25/9/1990,11,38
Transport - Mt Emerald Jet Aircraft Crash,Queensland,Cairns,Transport,11/5/1990,11/5/1990,11,N/A
Transport - Brooklyn NSW Train Collision ,New South Wales,Sydney,Transport,6/5/1990,6/5/1990,6,93
Transport - Clybucca Flat (near Kempsey) Bus Collision,New South Wales,Tamworth,Transport,22/12/1989,22/12/1989,35,41
Transport - Syndal Train Collision,Victoria,Melbourne,Transport,20/11/1989,20/11/1989,N/A,75
Transport - Cowper (near Grafton) Bus and Semi Trailer Collision,New South Wales,Lismore (NSW),Transport,20/10/1989,20/10/1989,21,22
Transport - Adelaide - Bus Collision,South Australia,Adelaide,Transport,2/10/1989,2/10/1989,N/A,78
Transport - Hot Air Balloon Crash,Northern Territory,Alice Springs,Transport,13/8/1989,13/8/1989,13,N/A
Transport - Leonora Light Aircraft Crash,Western Australia,Leonora,Transport,16/12/1988,16/12/1988,10,N/A
Transport - Bundaberg Air Ambulance Crash ,Queensland,Bundaberg,Transport,21/6/1987,21/6/1987,4,1
Transport - Gordonvale/Cairns Bus Crash,Queensland,Cairns,Transport,4/2/1987,4/2/1987,8,30
Transport - Essendon Air ambulance Crash,Victoria,Melbourne,Transport,3/9/1986,3/9/1986,6,4
"Transport - Light Aircraft Crash, Victoria ",Victoria,Gisbourne,Transport,1/12/1999,1/12/1999,4,N/A
Transport - Koolan Island Light Aircraft Crash,Western Australia,Derby,Transport,23/12/1984,23/12/1984,6,N/A
Transport - Goulburn Light Aircraft Crash ,New South Wales,Wollongong,Transport,15/5/1984,15/5/1984,4,N/A
Transport - El Alamein Helicopter Crash,South Australia,Whyalla,Transport,25/11/1978,25/11/1978,5,N/A
"Transport - Essendon Melbourne, Light Aircraft Crash",Victoria,Melbourne,Transport,10/7/1978,10/7/1978,6,4
Transport - Granville Rail Disaster,New South Wales,Sydney,Transport,18/1/1977,18/1/1977,83,210
Transport - Parafield Light Aircraft Collision,South Australia,Adelaide,Transport,1/2/1976,1/2/1976,5,N/A
Transport - Bankstown Light Aircraft Collision ,New South Wales,Sydney,Transport,13/3/1974,13/3/1974,4,N/A
"Transport - Tumut Ponds Bus crash, NSW 1973 ",New South Wales,Tumut Ponds,Transport,1/9/1973,,18,21
Transport - Golden Grove Light Aircraft Crash,South Australia,Adelaide,Transport,13/7/1972,13/7/1972,8,N/A
Transport - Leigh Creek Light Aircraft Crash,South Australia,Leigh Creek,Transport,25/1/1972,25/1/1972,4,N/A
Wasleys train and bus crash,South Australia,Wasleys,Transport,12/4/1970,,17,45
Transport - Parafield Region Light Aircraft Crash,South Australia,Adelaide,Transport,8/2/1969,8/2/1969,4,N/A
"Violet Town train collision, 1969",Victoria,Violet Town,Transport,7/2/1969,,9,117
Transport - Southern Aurora,Victoria,Melbourne,Transport,7/2/1969,7/2/1969,9,40
Transport - Port Hedland Aircraft Crash,Western Australia,Port Hedland,Transport,31/12/1968,31/12/1968,26,N/A
Transport - Winton Aircraft Accident,Queensland,Winton,Transport,22/9/1966,22/9/1966,24,N/A
Transport - Guerie Rail Collision,New South Wales,Dubbo,Transport,23/8/1963,23/8/1963,N/A,22
Transport - Sydney Airliner Crash ,New South Wales,Sydney,Transport,30/11/1961,30/11/1961,15,N/A
Transport - Mackay Aircraft Crash,Queensland,Mackay,Transport,10/6/1960,10/6/1960,N/A,N/A
Transport - Bogantungan Railway Accident,Queensland,Clermont,Transport,26/2/1960,26/2/1960,7,43
Transport - Wallumbilla Rail Collision,Queensland,Roma,Transport,1/12/1956,1/12/1956,5,10
Transport - Sydenham (Sydney) Train Collision,New South Wales,Sydney,Transport,19/12/1953,19/12/1953,5,748
Transport - Boronia Bus and Train Collision,Victoria,Melbourne,Transport,1/6/1952,1/6/1952,9,N/A
Transport - Berala Rail Collision,New South Wales,Sydney,Transport,7/5/1952,7/5/1952,10,140
Transport - Horsham Train and Bus Collision,Victoria,Mount Gambier (VIC),Transport,24/2/1951,24/2/1951,11,N/A
Transport - York Aircraft Crash,Western Australia,Perth,Transport,27/6/1950,27/6/1950,29,N/A
Transport - Perth Aircraft Crash,Western Australia,Perth,Transport,2/7/1949,2/7/1949,18,N/A
Transport - Spit Bridge Bus Crash,New South Wales,Sydney,Transport,30/5/1949,30/5/1949,4,33
Transport - Coolangatta Aircraft Crash,Queensland,Lismore (QLD),Transport,10/3/1949,10/3/1949,21,N/A
Transport - Rocky Ponds Train Derailment,New South Wales,Canberra (NSW),Transport,30/6/1948,30/6/1948,4,18
Transport - Tamaree Train Crash,Queensland,Bundaberg,Transport,18/10/1947,18/10/1947,6,15
Transport - Camp Mountain (Dayboro) Train Derailment,Queensland,Brisbane,Transport,5/5/1947,5/5/1947,16,38
Transport - Balgowlah Bus Crash,New South Wales,Sydney,Transport,10/3/1947,10/3/1947,N/A,70
"Transport - Aircraft crash, Seven Mile Beach, 1946",Tasmania,Seven Mile Beach,Transport,10/3/1946,,25,N/A
Transport - Copley Rail Collision,South Australia,Leigh Creek,Transport,11/5/1944,11/5/1944,4,27
Transport - Brooklyn Train and Bus Collision,New South Wales,Sydney,Transport,20/1/1944,20/1/1944,17,5
Transport - Wodonga Train and Bus Collision,Victoria,Cooma (VIC),Transport,8/5/1943,8/5/1943,25,N/A
Transport - Dandenongs Aircraft Crash,Victoria,Melbourne,Transport,25/10/1938,25/10/1938,18,N/A
Transport - Capsized Ferry Rodney,New South Wales,Sydney,Transport,13/2/1938,13/2/1938,19,N/A
"Transport - Southern Cloud Crash, NSW 1931 ",New South Wales,Tumbarumba,Transport,1/3/1931,,8,N/A
Transport - Koo-Wee-Rup Rail Collision,Victoria,Melbourne,Transport,24/12/1928,24/12/1928,N/A,54
Transport - Sydney Harbour Ferry Collision,New South Wales,Sydney,Transport,3/11/1927,3/11/1927,40,N/A
Transport - Murulla Train Accident ,New South Wales,Tamworth,Transport,13/9/1926,13/9/1926,27,38
Transport - Aberdeen Bridge Collapse,New South Wales,Sydney,Transport,10/6/1926,10/6/1926,4,39
Transport - Traveston Train Derailment,Queensland,Brisbane,Transport,7/6/1925,7/6/1925,10,53
Transport - Wokalup Train Crash,Western Australia,Bunbury,Transport,6/11/1920,6/11/1920,9,N/A
Transport - Hurstville Rail Accident ,New South Wales,Sydney,Transport,3/8/1920,3/8/1920,4,18
Transport - Exeter Train Collision,New South Wales,Wollongong,Transport,16/3/1914,16/3/1914,14,20
"Transport – Toowoomba Train Collision, Queensland 1913",Queensland,Brisbane,Transport,30/1/1913,30/1/1913,6,N/A
Transport - Richmond Rail Collision,Victoria,Melbourne,Transport,18/7/1910,18/7/1910,9,114
Transport - Beaufort Train Derailment,Victoria,Melbourne,Transport,5/2/1910,5/2/1910,3,1
Transport - Sunshine Rail Collision,Victoria,Melbourne,Transport,20/4/1908,20/4/1908,44,413
Transport - Belgrave Train Derailment,Victoria,Melbourne,Transport,28/1/1908,28/1/1908,N/A,40
Transport - Sydenham Train Derailment ,New South Wales,Sydney,Transport,15/2/1901,15/2/1901,7,30
"Tsunami - Samoa, American Samoa and Tonga",Offshore,Outside Territorial Waters,Tsunami,29/9/2009,29/9/2009,144,N/A
Tsunami - Indian Ocean,Offshore,Outside Territorial Waters,Tsunami,26/12/2004,26/12/2004,"273,636",N/A
Urban Fire - Quakers Hill Nursing Home,New South Wales,Sydney,Urban Fire,18/11/2011,18/11/2011,10,32
Urban Fire - Slacks Creek House Fire,Queensland,Brisbane,Urban Fire,24/8/2011,24/8/2011,11,2
Urban Fire - Myer Store Hobart,Tasmania,Hobart,Urban Fire,22/9/2007,22/9/2007,N/A,N/A
Urban Fire - Melbourne Warehouse,Victoria,Melbourne,Urban Fire,12/11/2004,12/11/2004,N/A,N/A
"Urban Fire - Mitcham Shopping Centre, Adelaide",South Australia,Adelaide,Urban Fire,22/8/2004,22/8/2004,N/A,N/A
Urban Fire - Brisbane Boarding House ,Queensland,Brisbane,Urban Fire,18/8/2002,18/8/2002,3,6
Urban Fire - Childers Backpacker ,Queensland,Bundaberg,Urban Fire,23/6/2000,23/6/2000,15,N/A
Urban Fire - Kew Cottages,Victoria,Melbourne,Urban Fire,8/4/1996,8/4/1996,9,N/A
Urban Fire - Dungog Hostel Fire,New South Wales,Sydney,Urban Fire,2/8/1991,2/8/1991,12,28
Urban Fire - Noble Park Melbourne,Victoria,Melbourne,Urban Fire,1/1/1991,1/1/1991,4,22
Urban Fire - Oakdale Guesthouse Ipswich,Queensland,Brisbane,Urban Fire,29/12/1990,29/12/1990,5,N/A
"Urban Fire – Kings Cross, New South Wales 1989",New South Wales,Sydney,Urban Fire,17/9/1989,17/9/1989,6,18
Urban Fire - Kings Cross,New South Wales,Sydney,Urban Fire,25/8/1981,25/8/1981,9,N/A
Urban Fire - Sydney Luna Park,New South Wales,Sydney,Urban Fire,9/6/1979,9/6/1979,7,N/A
Urban Fire - Melbourne Hostel,Victoria,Melbourne,Urban Fire,13/8/1966,13/8/1966,30,N/A
Urban Fire - Somers Hospital Fire,Victoria,Wilsons Promontory,Urban Fire,9/9/1952,9/9/1952,5,26
Urban Fire - Adelaide Café fire ,South Australia,Adelaide,Urban Fire,27/10/1948,27/10/1948,5,N/A