EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State,state_year
Bushfire - Black Thursday Victoria,Bushfire,Melbourne,-37.712608,144.495866,1851,12,,,2,Victoria,Victoria_1851
Bushfire - Red Tuesday,Bushfire,Melbourne,-37.813825,144.959165,1898,12,,,2,Victoria,Victoria_1898
Black Summer - New South Wales,Bushfire,New South Wales,-31.061251,147.255548,2019,26,,1880000000,7,New South Wales,New South Wales_2019
Black Summer - Queensland,Bushfire,Queensland,-20.83322,142.894144,2019,,,70000000,9,Queensland,Queensland_2019
Black Summer - Victoria,Bushfire,Victoria,-37.508367,144.769126,2019,5,,18600000,11,Victoria,Victoria_2019
Black Summer - South Australia,Bushfire,South Australia,-29.989555,136.206564,2019,4,,186000000,11,South Australia,South Australia_2019
"Eastern Victorian bushfires, 2019",Bushfire,East Victoria,-37.384909,147.790291,2019,,,36000000,3,Victoria,Victoria_2019
"Tathra bushfire, 2018",Bushfire,Tathra,-36.704251,150.02377,2018,,,63516711,3,Australian Capital Territory,Australian Capital Territory_2018
"South-west complex fires, 2018",Bushfire,South-west Victoria,-38.002183,141.902427,2018,,,18972524,3,Victoria,Victoria_2018
Waroona-Yarloop Fire,Bushfire,"Waroona, Yarloop",-32.988123,115.748313,2016,2,,71000000,1,Western Australia,Western Australia_2016
Wye River - Jamieson track / Great Ocean Road Bushfire,Bushfire,Wye River,-38.773555,143.992362,2015,,,120000000,12,Victoria,Victoria_2015
"Pinery fire, 2015",Bushfire,Pinery,-33.937512,138.702791,2015,2,,61000000,11,South Australia,South Australia_2015
"Sampson Flat bushfire, 2015",Bushfire,Sampson Flat,-34.953285,138.81853,2015,,,24900000,1,South Australia,South Australia_2015
"Bushfire – Perth Hills, Western Australia 2014",Bushfire,Perth,-31.945177,115.878321,2014,1,,15000000,1,Western Australia,Western Australia_2014
Bushfire - Victoria,Bushfire,"Stawell, Yea, Moondarra, Grampians, Kinglake and Anakie",-37.388994,144.505201,2005,4,,22000000,1,Victoria,Victoria_2005
"Bushfire - Coonabarabran, 2013",Bushfire,Coonabarabran,-31.276825,149.287333,2013,,,35000000,1,New South Wales,New South Wales_2013
"Bushfire - Hazelwood open cut mine fire, Morwell",Bushfire,Morwell,-37.742667,146.795004,2014,,,100000000,2,Victoria,Victoria_2014
"Dunalley and Tasmanian bushfires, 2013",Bushfire,"Dunalley, Forcett, Lake Repulse ",-42.652966,147.158253,2013,1,,89000000,1,Tasmania,Tasmania_2013
Bushfire - Augusta - Margaret River,Bushfire,Bunbury,-32.961902,116.137525,2011,,,53000000,11,Western Australia,Western Australia_2011
Bushfire - Perth Hill Bushfires,Bushfire,Perth,-31.680834,115.403598,2011,,,35000000,2,Western Australia,Western Australia_2011
"Bushfire - Black Saturday, Victoria",Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Warrnambool (VIC) , Wilsons Promontory , Melbourne",-37.637994,144.519516,2009,173,,1070000000,2,Victoria,Victoria_2009
Bushfire - Boorabbin National Park,Bushfire,Kalgoorlie,-30.808283,121.365573,2007,3,,,12,Western Australia,Western Australia_2007
Bushfire - Great Divide Complex ,Bushfire,"Cooma (VIC) , Melbourne",-37.8136,144.9631,2006,1,,,12,Victoria,Victoria_2006
Bushfire - Victoria,Bushfire,"Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.388994,144.505201,2005,4,,22400000,12,Victoria,Victoria_2005
Bushfire - Eyre Peninsula,Bushfire,Adelaide,-34.986605,138.384486,2005,9,,27700000,1,South Australia,South Australia_2005
Bushfire - Canberra,Bushfire,Canberra (ACT),-35.264974,149.141399,2003,4,,,1,Australian Capital Territory,Australian Capital Territory_2003
"Bushfire - North-Eastern Victoria, Alpine Region",Bushfire,Cooma (VIC),-35.810362,149.298975,2003,,,12000000,1,Victoria,Victoria_2003
Bushfire - Sydney,Bushfire,Sydney,-33.872063,151.174189,2002,,,25000000,10,Australian Capital Territory,Australian Capital Territory_2002
Bushfire - Black Christmas,Bushfire,"Dubbo , Sydney , Wollongong , Canberra (ACT)",-34.278068,149.969835,2001,,,69000000,12,Australian Capital Territory,Australian Capital Territory_2001
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",Bushfire,Mt Ku-Ring-gai,-33.713659,151.289335,2000,4,,,6,New South Wales,New South Wales_2000
Bushfire - Linton (near Ballarat),Bushfire,Melbourne,-37.624644,145.00919,1998,5,,,12,Northern Territory,Northern Territory_1998
"Bushfire - Sydney, Hunter, Pilliga",Bushfire,Sydney,-33.858419,151.178905,1997,4,,,11,Northern Territory,Northern Territory_1997
Bushfire - Kangaroo Island,Bushfire,Kangaroo Island,-35.423574,136.914865,2007,1,,17900000,12,South Australia,South Australia_2007
Bushfire - Dandenong Ranges and Mornington Peninsula,Bushfire,"Wilsons Promontory , Melbourne",-38.174782,145.260594,1997,3,,29000000,1,Northern Territory,Northern Territory_1997
Bushfire - East Coast,Bushfire,Brisbane,-27.467217,153.057163,1994,,,59100000,9,New South Wales,New South Wales_1994
"Bushfire - North Coast, Hunter and Sydney",Bushfire,"Dubbo , Lismore (NSW) , Sydney",-31.868818,150.960456,1993,4,,59000000,12,New South Wales,New South Wales_1993
Bushfire - Western Sydney and Central Coast,Bushfire,Sydney,-33.852633,151.166832,1991,2,,12000000,10,Northern Territory,Northern Territory_1991
Bushfire - Cootamundra and Deniliquin Regions,Bushfire,"Canberra (NSW) , Swan Hill (NSW)",-35.328995,146.309228,1987,3,,,1,New South Wales,New South Wales_1987
Bushfire - Central Victoria and Alpine Fires,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.293156,145.092181,1985,3,,,1,Victoria,Victoria_1985
Bushfire - North-Western Regions ,Bushfire,Bourke,-30.09,145.9375,1984,4,,25000000,9,New South Wales,New South Wales_1984
Bushfire - Ash Wednesday,Bushfire,"Wilsons Promontory , Adelaide , Melbourne",-37.423066,143.488281,1983,75,,176000000,2,Northern Territory,Northern Territory_1983
Bushfire - Sydney and Southern Regions,Bushfire,Sydney,-33.913009,150.704277,1983,3,,,1,Australian Capital Territory,Australian Capital Territory_1983
Bushfire - Sydney and Wollongong,Bushfire,"Sydney , Wollongong",-34.191829,151.416539,1980,5,,,11,Australian Capital Territory,Australian Capital Territory_1980
Bushfire - Mount Lofty Ranges,Bushfire,Adelaide,-34.996748,138.67061,1980,,,13000000,2,Northern Territory,Northern Territory_1980
Bushfire - Sydney and Region,Bushfire,Sydney,-33.528782,151.095311,1979,5,,,12,Australian Capital Territory,Australian Capital Territory_1979
Bushfire - Western Districts and Streatham ,Bushfire,Melbourne,-37.8136,144.9631,1977,4,,9000000,2,Victoria,Victoria_1977
Bushfire - New South Wales 1974,Bushfire,"Bourke , Hillston , Swan Hill (NSW) , Sydney",-33.170939,146.560015,1974,3,,,12,New South Wales,New South Wales_1974
Bushfire - Lara and Melbourne Fringe,Bushfire,Wilsons Promontory,-38.830762,146.46792,1969,23,,,1,Northern Territory,Northern Territory_1969
Bushfire - Blue Mountains and Illawarra,Bushfire,Sydney,-33.858767,151.207899,1968,14,,,10,Western Australia,Western Australia_1968
Bushfire - Black Tuesday Tasmania,Bushfire,"Hobart , Launceston",-42.187135,147.241698,1967,62,,14000000,2,Tasmania,Tasmania_1967
Bushfire - Gippsland,Bushfire,"Cooma (VIC) , Melbourne",-36.73991,147.536361,1932,3,,,2,Victoria,Victoria_1932
Bushfire - Longwood District,Bushfire,Melbourne,-37.870356,144.593288,1965,7,,,1,Victoria,Victoria_1965
Bushfire - Southern Victoria and Dandenong Ranges,Bushfire,Melbourne,-37.683973,144.87825,1962,8,,,1,Victoria,Victoria_1962
Bushfire - Wandilo,Bushfire,Mount Gambier (SA),-37.829611,140.780382,1958,8,,,4,South Australia,South Australia_1958
Bushfire - Blue Mountains and Sydney Region,Bushfire,Sydney,-33.833379,151.275825,1957,4,,,11,Northern Territory,Northern Territory_1957
"Bushfire - Black Sunday, Mt Lofty Ranges",Bushfire,Adelaide,-35.074298,138.351656,1955,2,,,1,South Australia,South Australia_1955
Bushfire - Narollah Station,Bushfire,Charters Towers,-19.915997,146.217101,1954,3,,,11,Queensland,Queensland_1954
Bushfire - Central and Southern Victoria,Bushfire,Melbourne,-38.215299,144.514416,1952,10,,,1,Victoria,Victoria_1952
Bushfire - Australian Capital Territory and South-West New South Wales,Bushfire,"Canberra (NSW) , Dubbo , Hillston",-33.513353,148.017902,1951,13,,,11,New South Wales,New South Wales_1951
Bushfire - Sydney and Southern New South Wales,Bushfire,"Cooma (NSW) , Sydney , Wollongong",-35.283889,150.834741,1939,6,,,1,New South Wales,New South Wales_1939
Bushfire - Black Friday ,Bushfire,"Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne",-37.8136,144.9631,1939,71,,,1,Victoria,Victoria_1939
Bushfire - Gippsland,Bushfire,Melbourne,-36.73991,147.536361,1932,9,,,2,Australian Capital Territory,Australian Capital Territory_1932
Bushfire - Central Western NSW and Southern QLD,Bushfire,"Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)",-30.951782,151.010452,1926,8,,,10,New South Wales,New South Wales_1926
Bushfire - South East Victoria,Bushfire,Melbourne,-37.815784,144.958754,1926,60,,,2,Victoria,Victoria_1926
Bushfire - Saltern Creek,Bushfire,Longreach,-23.609965,144.232325,1918,5,,,9,South Australia,South Australia_1918
Bushfire - Warenda Station Hughenden,Bushfire,Boulia,-22.912066,140.187821,1917,3,,,9,Western Australia,Western Australia_1917
Bushfire - Widespread Victoria,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.866174,145.391067,1906,12,,,1,Victoria,Victoria_1906
Cyclone Sigma ,Cyclone,"Brisbane , Townsville",-27.4698,153.0251,1896,18,,,1,New South Wales,New South Wales_1896
Cyclone - Darwin,Cyclone,Darwin,-12.45321,130.838158,1897,28,,,1,Northern Territory,Northern Territory_1897
Cyclone - Gulf of Carpentaria,Cyclone,Mornington Island,-16.505537,138.883541,1887,7,,,3,Northern Territory,Northern Territory_1887
Cyclone Mahina,Cyclone,Cooktown,-15.536532,145.195549,1899,400,,,3,Queensland,Queensland_1899
Cyclone Veronica,Cyclone,Port Hedland,-20.218449,118.584975,2019,,,26700000,3,Western Australia,Western Australia_2019
Cyclone Marcus,Cyclone,Darwin,-12.470079,130.839774,2018,,,75000000,3,Northern Territory,Northern Territory_2018
Cyclone Debbie,Cyclone,Airlie Beach,-19.936039,149.066548,2017,10,,,3,Queensland,Queensland_2017
Cyclone Marcia,Cyclone,Shoalwater Bay,-22.368656,150.225582,2015,,,404000000,2,Western Australia,Western Australia_2015
Cyclone Oswald,Cyclone,Cape York Peninsula,-13.534104,142.258198,2013,6,,1100000000,1,Western Australia,Western Australia_2013
Cyclone Yasi,Cyclone,"Ayr , Cairns , Townsville",-18.586959,146.652665,2011,1,,1405000000,2,Queensland,Queensland_2011
Cyclone George,Cyclone,Port Hedland,-20.431225,118.544798,2007,3,,8000000,3,Western Australia,Western Australia_2007
Cyclone Larry,Cyclone,Cairns,-16.987637,145.855657,2006,,,540000000,3,Queensland,Queensland_2006
Cyclone Tessi,Cyclone,Townsville,-19.341045,146.958954,2000,,,15000000,4,Queensland,Queensland_2000
Cyclone Steve,Cyclone,Cairns,-16.890787,145.718968,2000,1,,11000000,2,Queensland,Queensland_2000
Cyclone Vance,Cyclone,"Dampier , Exmouth Gulf , Port Hedland",-21.088611,116.537335,1999,,,35000000,3,Western Australia,Western Australia_1999
Cyclone Justin,Cyclone,"Cairns , Townsville",-18.201991,146.212139,1997,2,,,3,Queensland,Queensland_1997
Cyclone Bobby,Cyclone,Dampier,-20.802031,116.701293,1995,8,,11000000,2,Western Australia,Western Australia_1995
Cyclone Rewa,Cyclone,Brisbane,-27.302276,152.983492,1993,4,,,12,Western Australia,Western Australia_1993
Cyclone Nancy,Cyclone,"Brisbane , Lismore (QLD)",-28.087412,153.138568,1990,6,,33000000,2,Queensland,Queensland_1990
Cyclone Aivu,Cyclone,"Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",-26.256918,152.075707,1989,3,,26000000,4,New South Wales,New South Wales_1989
Cyclone Herbie,Cyclone,Dampier,-20.684852,116.747869,1988,,,20000000,5,Western Australia,Western Australia_1988
Cyclone Winifred,Cyclone,Cairns,-16.776411,145.544381,1986,3,,40000000,1,Queensland,Queensland_1986
Cyclone Hazel,Cyclone,Carnarvon,-24.728989,113.848111,1979,15,,15000000,3,Western Australia,Western Australia_1979
Cyclone Alby,Cyclone,Perth,-32.022535,115.742871,1978,5,,13000000,3,Western Australia,Western Australia_1978
Cyclone Joan,Cyclone,Port Hedland,-20.276099,118.262068,1975,,,20000000,12,Western Australia,Western Australia_1975
Cyclone Tracy,Cyclone,Darwin,-12.044989,131.25964,1974,71,,200000000,12,Northern Territory,Northern Territory_1974
Cyclone Emily,Cyclone,"Bundaberg , Rockhampton",-23.960965,151.325194,1972,8,,,3,Queensland,Queensland_1972
Cyclone Althea,Cyclone,Townsville,-19.247742,146.834941,1971,3,,25000000,12,Queensland,Queensland_1971
Cyclone Ada,Cyclone,Mackay,-21.115675,149.163786,1970,14,,12000000,1,Queensland,Queensland_1970
Cyclone Audrey,Cyclone,Coburg Peninsula,-11.631458,132.479845,1969,4,,,2,Northern Territory,Northern Territory_1969
Cyclone Glenda,Cyclone,Brisbane,-27.321062,152.892826,1967,6,,,4,New South Wales,New South Wales_1967
Cyclone Agnes,Cyclone,Cairns,-16.812407,145.696323,1956,4,,,3,Queensland,Queensland_1956
Cyclone - Mackay,Cyclone,Mackay,-21.1411,149.186,1918,8,,,3,Queensland,Queensland_1918
Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,Cyclone,"Brisbane , Lismore (QLD)",-28.078422,152.975059,1954,26,,,2,New South Wales,New South Wales_1954
Cyclone - TC119 Coastal Queensland and New South Wales,Cyclone,"Brisbane , Cairns , Sydney",-26.127178,150.11717,1950,7,,,1,New South Wales,New South Wales_1950
Cyclone - Rockhampton,Cyclone,"Bundaberg , Rockhampton",-24.122628,151.429045,1949,4,,,3,Queensland,Queensland_1949
Cyclone - Cape York and Townsville,Cyclone,"Cairns , Townsville",-18.062813,146.236578,1934,75,,,3,Queensland,Queensland_1934
Cyclone - Innisfail ,Cyclone,Cairns,-16.9186,145.778,1918,37,,,3,Queensland,Queensland_1918
Cyclone - Mackay ,Cyclone,Mackay,,,1918,30,,,1,,_1918
Cyclone - Balla Balla,Cyclone,Port Hedland,-20.304791,118.527996,1912,173,,,3,Western Australia,Western Australia_1912
"Cyclone - Broome, Lacepede Islands",Cyclone,"Broome, Lacepede Islands",-17.953496,122.234252,1935,142,,,3,Western Australia,Western Australia_1935
Cyclone Broome,Cyclone,Broome,-17.959023,122.258848,1910,40,,,11,Western Australia,Western Australia_1910
Cyclone - Cooktown,Cyclone,Cooktown,-15.326993,145.196941,1907,9,,,1,Queensland,Queensland_1907
Cyclone Leonta,Cyclone,Townsville,-19.334295,146.640943,1903,10,,,3,Northern Territory,Northern Territory_1903
Earthquake - Christchurch - New Zealand,Earthquake,Outside Territorial Waters,-24.826589,109.869075,2011,185,,370000000,2,Western Australia,Western Australia_2011
Earthquake - Sumatra,Earthquake,Outside Territorial Waters,-24.882318,109.556772,2009,1117,,,9,Western Australia,Western Australia_2009
"Earthquake â€“ Hunter Valley, Ellalong and Cessnock",Earthquake,Sydney,-33.910552,151.170184,1994,,,37200000,8,Northern Territory,Northern Territory_1994
Earthquake - Newcastle,Earthquake,Sydney,-34.045295,151.340747,1989,13,,862000000,12,Australian Capital Territory,Australian Capital Territory_1989
Earthquake - Meckering and Region,Earthquake,Merredin,-31.473953,118.286546,1968,,,1500000,10,Western Australia,Western Australia_1968
Earthquake - Victoria ,Earthquake,Alpine National Park,,,2021,,,110533377,9,Victoria,Victoria_2021
Flood - Bolwarra,Flood,Sydney,-33.837105,151.237391,1857,26,,,7,Western Australia,Western Australia_1857
Flood - Gundagai,Flood,Canberra (NSW),-35.276484,149.125819,1852,89,,,6,New South Wales,New South Wales_1852
Flood - Mid-North South Australia,Flood,"Adelaide , Leigh Creek , Murray Bridge (SA)",-33.632679,138.760129,1889,5,,,4,South Australia,South Australia_1889
Flood - Araluen and Braidwood,Flood,Wollongong,-34.66772,150.931275,1860,24,,,2,Australian Capital Territory,Australian Capital Territory_1860
Flood -  Widespread New South Wales (including Queensland and South Australia),Flood,"Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)",-32.748051,143.551594,1890,9,,,4,New South Wales,New South Wales_1890
"Flood - Black February. Brisbane, Ipswich and Maryborough",Flood,"Brisbane , Bundaberg",-26.178393,152.936381,1893,35,,,2,New South Wales,New South Wales_1893
Flood - Maitland,Flood,Maitland,-32.734152,151.553868,1893,8,,,3,Australian Capital Territory,Australian Capital Territory_1893
Flood - Katherine and Daly River,Flood,"Katherine , Victoria River",-25.941055,138.48519,1879,6,,,2,Victoria,Victoria_1879
Flood - Clermont and Peak Downs,Flood,Clermont,-22.823941,147.636531,1916,15,,,2,Northern Territory,Northern Territory_1916
Flood - Widespread New South Wales and Queensland,Flood,New South Wales,-31.092078,147.567122,1863,10,,,2,New South Wales,New South Wales_1863
Flood - Nowra,Flood,Wollongong,-34.465499,150.791591,1860,16,,,1,Australian Capital Territory,Australian Capital Territory_1860
South-east Queensland Heavy rainfall and floods,Flood,Queensland,-20.904142,142.573086,2020,1,,896000000,2,Queensland,Queensland_2020
Flood - Hobart flash flooding,Flood,Hobart,-42.7066,147.235305,2018,,,137000000,5,Tasmania,Tasmania_2018
Flood - south-eastern Australia,Flood,National,-25.273194,133.782873,2016,1,,,9,South Australia,South Australia_2016
"Flood - Tasmania, 2016",Flood,"Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",-40.783273,146.904191,2016,3,,180000000,6,Tasmania,Tasmania_2016
Flood - Victoria,Flood,Cooma (VIC),-36.241757,148.756867,2011,,,108212000,2,Victoria,Victoria_2011
Flood - New South Wales,Flood,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",-33.122401,147.812078,2012,3,,108212000,1,New South Wales,New South Wales_2012
Flood - Queensland,Flood,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",-16.287458,143.766069,2008,1,,124688000,1,Queensland,Queensland_2008
Flood - Northern NSW - Moree,Flood,"Moree (NSW) , Narrabi , Tamworth",-30.290376,150.366085,2011,1,,,11,New South Wales,New South Wales_2011
Flood - Victoria ,Flood,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",-37.8136,144.9631,2011,,,122465000,1,Victoria,Victoria_2011
"Flood - Warum, Kimberly",Flood,Kimberly,-17.00044,127.999594,2011,,,17500000,3,Western Australia,Western Australia_2011
