Month,State,Unemployment Rate
2001-06,Queensland,8.1
2001-07,Queensland,7.5
2001-08,Queensland,7.8
2001-09,Queensland,7.9
2001-10,Queensland,7.8
2001-11,Queensland,7.6
2001-12,Queensland,8.1
2002-01,Queensland,8.9
2002-02,Queensland,9
2002-03,Queensland,8.2
2002-04,Queensland,7.8
2002-05,Queensland,7.6
2002-06,Queensland,7.5
2002-07,Queensland,6.8
2002-08,Queensland,6.9
2002-09,Queensland,7.1
2002-10,Queensland,6.7
2002-11,Queensland,6.5
2002-12,Queensland,7.2
2003-01,Queensland,7.7
2003-02,Queensland,8.1
2003-03,Queensland,8.2
2003-04,Queensland,7.3
2003-05,Queensland,6.7
2003-06,Queensland,6.7
2003-07,Queensland,6.2
2003-08,Queensland,6.2
2003-09,Queensland,6.1
2003-10,Queensland,5.7
2003-11,Queensland,5.4
2003-12,Queensland,5.9
2004-01,Queensland,6.6
2004-02,Queensland,7
2004-03,Queensland,6.7
2004-04,Queensland,6.1
2004-05,Queensland,5.4
2004-06,Queensland,5.5
2004-07,Queensland,5
2004-08,Queensland,5
2004-09,Queensland,5
2004-10,Queensland,4
2004-11,Queensland,4.4
2004-12,Queensland,4.8
2005-01,Queensland,5.5
2005-02,Queensland,5.3
2005-03,Queensland,4.9
2005-04,Queensland,5.3
2005-05,Queensland,5.2
2005-06,Queensland,4.6
2005-07,Queensland,4.5
2005-08,Queensland,4.8
2005-09,Queensland,4.4
2005-10,Queensland,4.3
2005-11,Queensland,4.1
2005-12,Queensland,4.7
2006-01,Queensland,5.6
2006-02,Queensland,5.9
2006-03,Queensland,5.3
2006-04,Queensland,4.7
2006-05,Queensland,4.7
2006-06,Queensland,4.4
2006-07,Queensland,4
2006-08,Queensland,4.2
2006-09,Queensland,4.4
2006-10,Queensland,3.4
2006-11,Queensland,3.7
2006-12,Queensland,3.9
2007-01,Queensland,4.5
2007-02,Queensland,4.8
2007-03,Queensland,4.4
2007-04,Queensland,3.5
2007-05,Queensland,3.4
2007-06,Queensland,3.5
2007-07,Queensland,3.3
2007-08,Queensland,3.4
2007-09,Queensland,3.7
2007-10,Queensland,3.4
2007-11,Queensland,3.4
2007-12,Queensland,3.4
2008-01,Queensland,3.9
2008-02,Queensland,4.3
2008-03,Queensland,4.1
2008-04,Queensland,3.8
2008-05,Queensland,3.8
2008-06,Queensland,3.7
2008-07,Queensland,3.4
2008-08,Queensland,3
2008-09,Queensland,3.6
2008-10,Queensland,3.4
2008-11,Queensland,3.5
2008-12,Queensland,3.7
2009-01,Queensland,5.1
2009-02,Queensland,5.3
2009-03,Queensland,5.4
2009-04,Queensland,5
2009-05,Queensland,5.4
2009-06,Queensland,5.4
2009-07,Queensland,5.2
2009-08,Queensland,5
2009-09,Queensland,6.1
2009-10,Queensland,5.3
2009-11,Queensland,5.4
2009-12,Queensland,5.5
2010-01,Queensland,6.1
2010-02,Queensland,6.6
2010-03,Queensland,6.1
2010-04,Queensland,5.7
2010-05,Queensland,5.6
2010-06,Queensland,5.1
2010-07,Queensland,5
2010-08,Queensland,4.9
2010-09,Queensland,5.2
2010-10,Queensland,5
2010-11,Queensland,4.9
2010-12,Queensland,5.6
2011-01,Queensland,6.1
2011-02,Queensland,6.5
2011-03,Queensland,6.1
2011-04,Queensland,5.2
2011-05,Queensland,5.3
2011-06,Queensland,5.1
2011-07,Queensland,5.2
2011-08,Queensland,5.7
2011-09,Queensland,5.2
2011-10,Queensland,5.1
2011-11,Queensland,5.1
2011-12,Queensland,5.1
2012-01,Queensland,5.9
2012-02,Queensland,6.7
2012-03,Queensland,6.1
2012-04,Queensland,5.1
2012-05,Queensland,5.8
2012-06,Queensland,5
2012-07,Queensland,5.5
2012-08,Queensland,5.6
2012-09,Queensland,6.2
2012-10,Queensland,5.7
2012-11,Queensland,5.5
2012-12,Queensland,6
2013-01,Queensland,6
2013-02,Queensland,6.8
2013-03,Queensland,6.5
2013-04,Queensland,5.4
2013-05,Queensland,5.8
2013-06,Queensland,6.1
2013-07,Queensland,5.4
2013-08,Queensland,5.6
2013-09,Queensland,5.8
2013-10,Queensland,5.5
2013-11,Queensland,5.2
2013-12,Queensland,5.9
2014-01,Queensland,6.6
2014-02,Queensland,7.3
2014-03,Queensland,6.7
2014-04,Queensland,6.1
2014-05,Queensland,6.1
2014-06,Queensland,6.2
2014-07,Queensland,6.4
2014-08,Queensland,6.4
2014-09,Queensland,6.2
2014-10,Queensland,6.7
2014-11,Queensland,6.2
2014-12,Queensland,6
2015-01,Queensland,6.9
2015-02,Queensland,7.4
2015-03,Queensland,7.2
2015-04,Queensland,6.4
2015-05,Queensland,6.2
2015-06,Queensland,5.9
2015-07,Queensland,6.2
2015-08,Queensland,6.3
2015-09,Queensland,6.1
2015-10,Queensland,5.9
2015-11,Queensland,5.4
2015-12,Queensland,5.5
2016-01,Queensland,6.9
2016-02,Queensland,6.2
2016-03,Queensland,6.7
2016-04,Queensland,6.4
2016-05,Queensland,6.3
2016-06,Queensland,6.3
2016-07,Queensland,5.8
2016-08,Queensland,6.1
2016-09,Queensland,6.1
2016-10,Queensland,5.5
2016-11,Queensland,5.4
2016-12,Queensland,5.7
2017-01,Queensland,6.5
2017-02,Queensland,7.5
2017-03,Queensland,6.6
2017-04,Queensland,6
2017-05,Queensland,5.8
2017-06,Queensland,6.3
2017-07,Queensland,5.8
2017-08,Queensland,5.6
2017-09,Queensland,5.6
2017-10,Queensland,5.4
2017-11,Queensland,5.1
2017-12,Queensland,5.5
2018-01,Queensland,6.4
2018-02,Queensland,6.9
2018-03,Queensland,6.5
2018-04,Queensland,6.5
2018-05,Queensland,6.2
2018-06,Queensland,5.8
2018-07,Queensland,5.7
2018-08,Queensland,6.1
2018-09,Queensland,5.6
2018-10,Queensland,5.7
2018-11,Queensland,5.5
2018-12,Queensland,5.4
2019-01,Queensland,6.3
2019-02,Queensland,6.1
2019-03,Queensland,6.5
2019-04,Queensland,6
2019-05,Queensland,6.1
2019-06,Queensland,6.3
2019-07,Queensland,6
2019-08,Queensland,6.2
2019-09,Queensland,6.1
2019-10,Queensland,6
2019-11,Queensland,5.5
2019-12,Queensland,5.1
2020-01,Queensland,6.5
2020-02,Queensland,6.1
2020-03,Queensland,5.9
2020-04,Queensland,7
2020-05,Queensland,7.7
2020-06,Queensland,7.8
2020-07,Queensland,8.3
2020-08,Queensland,7.1
2020-09,Queensland,7.1
2020-10,Queensland,7.2
2020-11,Queensland,6.7
2020-12,Queensland,6.6
2021-01,Queensland,7.3
2021-02,Queensland,6.7
2021-03,Queensland,6.3
2021-04,Queensland,6
2021-05,Queensland,5.4
2021-06,Queensland,5.2
2021-07,Queensland,5.1
2021-08,Queensland,5
2021-09,Queensland,4.7
2021-10,Queensland,4.9
2021-11,Queensland,4.2
2021-12,Queensland,4.2
2022-01,Queensland,4.7
2022-02,Queensland,4.5
2022-03,Queensland,4.2
2022-04,Queensland,4.2
2022-05,Queensland,4
2022-06,Queensland,3.9
2022-07,Queensland,3.6
2022-08,Queensland,3.3
2022-09,Queensland,3.5
2022-10,Queensland,3.1
2022-11,Queensland,3
2022-12,Queensland,3.4
2023-01,Queensland,4.1
2023-02,Queensland,4.1
2023-03,Queensland,4.2
2023-04,Queensland,3.9
2023-05,Queensland,3.9
2023-06,Queensland,3.7
2023-07,Queensland,4.3
2023-08,Queensland,3.9
2023-09,Queensland,3.6
2023-10,Queensland,4
2023-11,Queensland,4
2023-12,Queensland,4
2024-01,Queensland,4.4
2024-02,Queensland,4.3
2024-03,Queensland,4.5
2024-04,Queensland,4.2
2024-05,Queensland,4
2024-06,Queensland,3.8
2024-07,Queensland,4.4
2024-08,Queensland,4.1
2024-09,Queensland,3.8
2024-10,Queensland,3.6
2024-11,Queensland,3.6
2024-12,Queensland,3.6
2025-01,Queensland,4.2
2025-02,Queensland,4.4
2025-03,Queensland,4.3
2025-04,Queensland,4.3
2025-05,Queensland,3.7
2025-06,Queensland,4
2025-07,Queensland,4.3
2025-08,Queensland,4.3
1991-07,South Australia,10.2
1991-08,South Australia,10.3
1991-09,South Australia,10.6
1991-10,South Australia,10.2
1991-11,South Australia,10.2
1991-12,South Australia,11.2
1992-01,South Australia,11.8
1992-02,South Australia,12.3
1992-03,South Australia,11.3
1992-04,South Australia,11.6
1992-05,South Australia,11.8
1992-06,South Australia,11.4
1992-07,South Australia,11
1992-08,South Australia,11.7
1992-09,South Australia,11.7
1992-10,South Australia,11.4
1992-11,South Australia,11.5
1992-12,South Australia,12.1
1993-01,South Australia,12.5
1993-02,South Australia,12.2
1993-03,South Australia,11.5
1993-04,South Australia,11.4
1993-05,South Australia,10.6
1993-06,South Australia,10.7
1993-07,South Australia,10.6
1993-08,South Australia,10.2
1993-09,South Australia,10.6
1993-10,South Australia,11.1
1993-11,South Australia,10.8
1993-12,South Australia,10.9
1994-01,South Australia,12.1
1994-02,South Australia,11.8
1994-03,South Australia,11
1994-04,South Australia,9.9
1994-05,South Australia,10.2
1994-06,South Australia,10.3
1994-07,South Australia,10
1994-08,South Australia,10.2
1994-09,South Australia,10.4
1994-10,South Australia,10
1994-11,South Australia,10
1994-12,South Australia,10.2
1995-01,South Australia,10.7
1995-02,South Australia,10.7
1995-03,South Australia,10.3
1995-04,South Australia,10.1
1995-05,South Australia,9.8
1995-06,South Australia,10
1995-07,South Australia,9.5
1995-08,South Australia,9.6
1995-09,South Australia,10
1995-10,South Australia,9.6
1995-11,South Australia,8.9
1995-12,South Australia,9.1
1996-01,South Australia,10.4
1996-02,South Australia,10.5
1996-03,South Australia,9.6
1996-04,South Australia,9.8
1996-05,South Australia,9.7
1996-06,South Australia,8.8
1996-07,South Australia,9
1996-08,South Australia,9.3
1996-09,South Australia,9.4
1996-10,South Australia,9.5
1996-11,South Australia,9.2
1996-12,South Australia,9.7
1997-01,South Australia,10.4
1997-02,South Australia,10.4
1997-03,South Australia,9.8
1997-04,South Australia,9.9
1997-05,South Australia,9.7
1997-06,South Australia,9.3
1997-07,South Australia,9.4
1997-08,South Australia,9.3
1997-09,South Australia,9.4
1997-10,South Australia,9
1997-11,South Australia,9.1
1997-12,South Australia,9.3
1998-01,South Australia,10.3
1998-02,South Australia,9.9
1998-03,South Australia,9.8
1998-04,South Australia,9.1
1998-05,South Australia,9.7
1998-06,South Australia,9.4
1998-07,South Australia,9.4
1998-08,South Australia,9.6
1998-09,South Australia,9.4
1998-10,South Australia,8.6
1998-11,South Australia,9.1
1998-12,South Australia,8.7
1999-01,South Australia,9.9
1999-02,South Australia,9.2
1999-03,South Australia,8.8
1999-04,South Australia,7.9
1999-05,South Australia,8.5
1999-06,South Australia,7.3
1999-07,South Australia,7
1999-08,South Australia,7.9
1999-09,South Australia,7.6
1999-10,South Australia,8
1999-11,South Australia,7.2
1999-12,South Australia,7.7
2000-01,South Australia,8.6
2000-02,South Australia,9.2
2000-03,South Australia,7.9
2000-04,South Australia,8
2000-05,South Australia,8.5
2000-06,South Australia,7.7
2000-07,South Australia,6.9
2000-08,South Australia,7.3
2000-09,South Australia,7.1
2000-10,South Australia,6.9
2000-11,South Australia,7.1
2000-12,South Australia,7
2001-01,South Australia,7.6
2001-02,South Australia,7.6
2001-03,South Australia,7.1
2001-04,South Australia,7.5
2001-05,South Australia,7.7
2001-06,South Australia,7.2
2001-07,South Australia,7.2
2001-08,South Australia,7.1
2001-09,South Australia,7.3
2001-10,South Australia,7
2001-11,South Australia,6.6
2001-12,South Australia,7.2
2002-01,South Australia,8
2002-02,South Australia,7.8
2002-03,South Australia,7.1
2002-04,South Australia,6.5
2002-05,South Australia,6.8
2002-06,South Australia,6.7
2002-07,South Australia,6.2
2002-08,South Australia,6.8
2002-09,South Australia,6.7
2002-10,South Australia,6.3
2002-11,South Australia,6.1
2002-12,South Australia,5.6
2003-01,South Australia,7.1
2003-02,South Australia,6.9
2003-03,South Australia,6.1
2003-04,South Australia,6
2003-05,South Australia,6.2
2003-06,South Australia,6
2003-07,South Australia,5.7
2003-08,South Australia,5.9
2003-09,South Australia,6
2003-10,South Australia,5.9
2003-11,South Australia,5.8
2003-12,South Australia,6.2
2004-01,South Australia,6.9
2004-02,South Australia,7.1
2004-03,South Australia,5.7
2004-04,South Australia,5.9
2004-05,South Australia,6
2004-06,South Australia,6.1
2004-07,South Australia,5.8
2004-08,South Australia,6
2004-09,South Australia,5.8
2004-10,South Australia,5.5
2004-11,South Australia,4.8
2004-12,South Australia,4.9
2005-01,South Australia,6.4
2005-02,South Australia,5.9
2005-03,South Australia,5.5
2005-04,South Australia,5.3
2005-05,South Australia,5.3
2005-06,South Australia,5.2
2005-07,South Australia,4.3
2005-08,South Australia,4.8
2005-09,South Australia,4.7
2005-10,South Australia,4.7
2005-11,South Australia,4.4
2005-12,South Australia,4.7
2006-01,South Australia,5.3
2006-02,South Australia,5.5
2006-03,South Australia,5.2
2006-04,South Australia,5.1
2006-05,South Australia,5
2006-06,South Australia,4.5
2006-07,South Australia,4.6
2006-08,South Australia,4.7
2006-09,South Australia,4.7
2006-10,South Australia,4.5
2006-11,South Australia,4.9
2006-12,South Australia,5.4
2007-01,South Australia,6.2
2007-02,South Australia,5.6
2007-03,South Australia,5.2
2007-04,South Australia,5.3
2007-05,South Australia,4.7
2007-06,South Australia,4.7
2007-07,South Australia,4.6
2007-08,South Australia,4.6
2007-09,South Australia,4.6
2007-10,South Australia,5.3
2007-11,South Australia,4.5
2007-12,South Australia,4.9
2008-01,South Australia,5.2
2008-02,South Australia,5.1
2008-03,South Australia,4.7
2008-04,South Australia,5
2008-05,South Australia,5.1
2008-06,South Australia,4.5
2008-07,South Australia,4.4
2008-08,South Australia,4.3
2008-09,South Australia,5.6
2008-10,South Australia,5.2
2008-11,South Australia,5.1
2008-12,South Australia,5.3
2009-01,South Australia,6.4
2009-02,South Australia,6.4
2009-03,South Australia,6.2
2009-04,South Australia,5.7
2009-05,South Australia,5.4
2009-06,South Australia,5.2
2009-07,South Australia,5.1
2009-08,South Australia,5.7
2009-09,South Australia,5.6
2009-10,South Australia,5.1
2009-11,South Australia,5.3
2009-12,South Australia,5.3
2010-01,South Australia,4.9
2010-02,South Australia,5.3
2010-03,South Australia,5.8
2010-04,South Australia,6
2010-05,South Australia,5.3
2010-06,South Australia,5.1
2010-07,South Australia,4.6
2010-08,South Australia,5.2
2010-09,South Australia,5.4
2010-10,South Australia,5.6
2010-11,South Australia,5.3
2010-12,South Australia,5.5
2011-01,South Australia,5.9
2011-02,South Australia,6.5
2011-03,South Australia,5.7
2011-04,South Australia,5.6
2011-05,South Australia,5.3
2011-06,South Australia,4.7
2011-07,South Australia,4.7
2011-08,South Australia,4.8
2011-09,South Australia,5.5
2011-10,South Australia,5.2
2011-11,South Australia,5
2011-12,South Australia,5.2
2012-01,South Australia,5.6
2012-02,South Australia,5.9
2012-03,South Australia,5.5
2012-04,South Australia,5.4
2012-05,South Australia,5.1
2012-06,South Australia,5.9
2012-07,South Australia,4.8
2012-08,South Australia,5.5
2012-09,South Australia,5.6
2012-10,South Australia,5.6
2012-11,South Australia,5.2
2012-12,South Australia,5.8
2013-01,South Australia,6.6
2013-02,South Australia,6.5
2013-03,South Australia,6.2
2013-04,South Australia,6.1
2013-05,South Australia,5.8
2013-06,South Australia,5.6
2013-07,South Australia,6.4
2013-08,South Australia,6.6
2013-09,South Australia,5.9
2013-10,South Australia,6.7
2013-11,South Australia,6.6
2013-12,South Australia,6.8
2014-01,South Australia,7.2
2014-02,South Australia,7.4
2014-03,South Australia,7.5
2014-04,South Australia,6.4
2014-05,South Australia,6.6
2014-06,South Australia,6.8
2014-07,South Australia,6.7
2014-08,South Australia,5.7
2014-09,South Australia,6.5
2014-10,South Australia,6.7
2014-11,South Australia,6.4
2014-12,South Australia,6.5
2015-01,South Australia,8.1
2015-02,South Australia,7.2
2015-03,South Australia,6.6
2015-04,South Australia,7.1
2015-05,South Australia,7.6
2015-06,South Australia,7.9
2015-07,South Australia,7.9
2015-08,South Australia,7.7
2015-09,South Australia,7.4
2015-10,South Australia,7.5
2015-11,South Australia,6.9
2015-12,South Australia,6.9
2016-01,South Australia,7.2
2016-02,South Australia,7.9
2016-03,South Australia,7.3
2016-04,South Australia,6.5
2016-05,South Australia,6.8
2016-06,South Australia,7
2016-07,South Australia,6.3
2016-08,South Australia,6.7
2016-09,South Australia,6.5
2016-10,South Australia,6.4
2016-11,South Australia,6.7
2016-12,South Australia,6.5
2017-01,South Australia,6.6
2017-02,South Australia,7
2017-03,South Australia,7.3
2017-04,South Australia,7.1
2017-05,South Australia,6.9
2017-06,South Australia,6.4
2017-07,South Australia,6.1
2017-08,South Australia,5.5
2017-09,South Australia,5.6
2017-10,South Australia,5.7
2017-11,South Australia,6
2017-12,South Australia,5.8
2018-01,South Australia,6.3
2018-02,South Australia,6.7
2018-03,South Australia,5.9
2018-04,South Australia,5.9
2018-05,South Australia,5.7
2018-06,South Australia,5.3
2018-07,South Australia,5.6
2018-08,South Australia,5.5
2018-09,South Australia,5.3
2018-10,South Australia,5.4
2018-11,South Australia,5.2
2018-12,South Australia,5.9
2019-01,South Australia,6.8
2019-02,South Australia,6.1
2019-03,South Australia,6.1
2019-04,South Australia,6.2
2019-05,South Australia,5.6
2019-06,South Australia,5.8
2019-07,South Australia,6.9
2019-08,South Australia,7.1
2019-09,South Australia,6
2019-10,South Australia,6
2019-11,South Australia,6.2
2019-12,South Australia,6
2020-01,South Australia,6
2020-02,South Australia,6.2
2020-03,South Australia,6.5
2020-04,South Australia,7.1
2020-05,South Australia,7.7
2020-06,South Australia,8.4
2020-07,South Australia,7.9
2020-08,South Australia,7.6
2020-09,South Australia,6.6
2020-10,South Australia,6.7
2020-11,South Australia,6.1
2020-12,South Australia,6.2
2021-01,South Australia,7.5
2021-02,South Australia,7.2
2021-03,South Australia,6.6
2021-04,South Australia,5.9
2021-05,South Australia,5.8
2021-06,South Australia,5.2
2021-07,South Australia,4.7
2021-08,South Australia,4.7
2021-09,South Australia,4.8
2021-10,South Australia,5
2021-11,South Australia,4.4
2021-12,South Australia,3.9
2022-01,South Australia,5.3
2022-02,South Australia,5.4
2022-03,South Australia,5.1
2022-04,South Australia,4.6
2022-05,South Australia,4.6
2022-06,South Australia,4.3
2022-07,South Australia,4.1
2022-08,South Australia,3.9
2022-09,South Australia,4.1
2022-10,South Australia,3.9
2022-11,South Australia,3.9
2022-12,South Australia,3.9
2023-01,South Australia,4.6
2023-02,South Australia,4.2
2023-03,South Australia,3.9
2023-04,South Australia,4.4
2023-05,South Australia,3.9
2023-06,South Australia,4.1
2023-07,South Australia,4
2023-08,South Australia,3.5
2023-09,South Australia,3.4
2023-10,South Australia,3.4
2023-11,South Australia,3.7
2023-12,South Australia,3.9
2024-01,South Australia,4.6
2024-02,South Australia,3.6
2024-03,South Australia,4
2024-04,South Australia,4.3
2024-05,South Australia,3.9
2024-06,South Australia,3.8
2024-07,South Australia,4.4
2024-08,South Australia,3.6
2024-09,South Australia,4
2024-10,South Australia,4
2024-11,South Australia,3.7
2024-12,South Australia,4.1
2025-01,South Australia,4.7
2025-02,South Australia,4.1
2025-03,South Australia,4.1
2025-04,South Australia,4.1
2025-05,South Australia,4.2
2025-06,South Australia,4.3
2025-07,South Australia,4.3
2025-08,South Australia,4.7
1991-07,Western Australia,10.9
1991-08,Western Australia,10.5
1991-09,Western Australia,10.7
1991-10,Western Australia,10.3
1991-11,Western Australia,10.2
1991-12,Western Australia,10.6
1992-01,Western Australia,12.3
1992-02,Western Australia,12.2
1992-03,Western Australia,12.1
1992-04,Western Australia,11
1992-05,Western Australia,10.8
1992-06,Western Australia,10.4
1992-07,Western Australia,10.5
1992-08,Western Australia,10.8
1992-09,Western Australia,10.9
1992-10,Western Australia,10.4
1992-11,Western Australia,9.5
1992-12,Western Australia,10.9
1993-01,Western Australia,11
1993-02,Western Australia,10.8
1993-03,Western Australia,9.7
1993-04,Western Australia,10.2
1993-05,Western Australia,9.7
1993-06,Western Australia,9
1993-07,Western Australia,9
1993-08,Western Australia,9.4
1993-09,Western Australia,9.3
1993-10,Western Australia,8.8
1993-11,Western Australia,8.6
1993-12,Western Australia,9.2
1994-01,Western Australia,9.6
1994-02,Western Australia,9.7
1994-03,Western Australia,8.8
1994-04,Western Australia,8.4
1994-05,Western Australia,8.5
1994-06,Western Australia,8.5
1994-07,Western Australia,7.9
1994-08,Western Australia,7.7
1994-09,Western Australia,8.2
1994-10,Western Australia,7.2
1994-11,Western Australia,7.4
1994-12,Western Australia,7.2
1995-01,Western Australia,8.2
1995-02,Western Australia,8.9
1995-03,Western Australia,7.9
1995-04,Western Australia,7.3
1995-05,Western Australia,7.4
1995-06,Western Australia,7
1995-07,Western Australia,7.2
1995-08,Western Australia,7
1995-09,Western Australia,7.6
1995-10,Western Australia,7
1995-11,Western Australia,7.2
1995-12,Western Australia,7.6
1996-01,Western Australia,8.6
1996-02,Western Australia,8.6
1996-03,Western Australia,8
1996-04,Western Australia,7.1
1996-05,Western Australia,7.5
1996-06,Western Australia,7.6
1996-07,Western Australia,7
1996-08,Western Australia,7.4
1996-09,Western Australia,7.4
1996-10,Western Australia,7.1
1996-11,Western Australia,7.3
1996-12,Western Australia,7.5
1997-01,Western Australia,8.3
1997-02,Western Australia,8.6
1997-03,Western Australia,8
1997-04,Western Australia,7.1
1997-05,Western Australia,6.8
1997-06,Western Australia,7
1997-07,Western Australia,6.6
1997-08,Western Australia,6.8
1997-09,Western Australia,6.5
1997-10,Western Australia,5.5
1997-11,Western Australia,6.3
1997-12,Western Australia,6.7
1998-01,Western Australia,7.4
1998-02,Western Australia,7.5
1998-03,Western Australia,7.1
1998-04,Western Australia,6.6
1998-05,Western Australia,6.8
1998-06,Western Australia,7
1998-07,Western Australia,6.6
1998-08,Western Australia,6.4
1998-09,Western Australia,6.4
1998-10,Western Australia,5.9
1998-11,Western Australia,6.1
1998-12,Western Australia,6.6
1999-01,Western Australia,7.1
1999-02,Western Australia,7.6
1999-03,Western Australia,7
1999-04,Western Australia,6.8
1999-05,Western Australia,6.2
1999-06,Western Australia,6.1
1999-07,Western Australia,5.5
1999-08,Western Australia,5.9
1999-09,Western Australia,6.5
1999-10,Western Australia,6.1
1999-11,Western Australia,6.2
1999-12,Western Australia,6
2000-01,Western Australia,7.4
2000-02,Western Australia,7.1
2000-03,Western Australia,6.6
2000-04,Western Australia,6.4
2000-05,Western Australia,5.6
2000-06,Western Australia,5.3
2000-07,Western Australia,5.3
2000-08,Western Australia,5.7
2000-09,Western Australia,5.5
2000-10,Western Australia,5.4
2000-11,Western Australia,5.9
2000-12,Western Australia,5.6
2001-01,Western Australia,6.5
2001-02,Western Australia,7.3
2001-03,Western Australia,7.4
2001-04,Western Australia,7
2001-05,Western Australia,7.1
2001-06,Western Australia,8
2001-07,Western Australia,6.8
2001-08,Western Australia,6.6
2001-09,Western Australia,7.2
2001-10,Western Australia,6.5
2001-11,Western Australia,6.2
2001-12,Western Australia,6.1
2002-01,Western Australia,8
2002-02,Western Australia,7.3
2002-03,Western Australia,6
2002-04,Western Australia,6.4
2002-05,Western Australia,6.4
2002-06,Western Australia,5.5
2002-07,Western Australia,5.4
2002-08,Western Australia,6.1
2002-09,Western Australia,6.5
2002-10,Western Australia,5.6
2002-11,Western Australia,5.6
2002-12,Western Australia,6
2003-01,Western Australia,6.9
2003-02,Western Australia,6.4
2003-03,Western Australia,5.9
2003-04,Western Australia,6
2003-05,Western Australia,5.6
2003-06,Western Australia,5.3
2003-07,Western Australia,5.6
2003-08,Western Australia,5.9
2003-09,Western Australia,6.2
2003-10,Western Australia,5.7
2003-11,Western Australia,5.7
2003-12,Western Australia,5.6
2004-01,Western Australia,6.3
2004-02,Western Australia,6.2
2004-03,Western Australia,5.6
2004-04,Western Australia,5.3
2004-05,Western Australia,5.3
2004-06,Western Australia,5
