Month,State,Unemployment Rate
2004-07,Western Australia,4.7
2004-08,Western Australia,4.7
2004-09,Western Australia,5
2004-10,Western Australia,4.5
2004-11,Western Australia,3.9
2004-12,Western Australia,4.2
2005-01,Western Australia,5.2
2005-02,Western Australia,4.9
2005-03,Western Australia,5.1
2005-04,Western Australia,4.7
2005-05,Western Australia,4.5
2005-06,Western Australia,4.6
2005-07,Western Australia,4.3
2005-08,Western Australia,4.3
2005-09,Western Australia,4
2005-10,Western Australia,3.7
2005-11,Western Australia,3.7
2005-12,Western Australia,4.1
2006-01,Western Australia,4.6
2006-02,Western Australia,4.7
2006-03,Western Australia,4.2
2006-04,Western Australia,3.7
2006-05,Western Australia,3.2
2006-06,Western Australia,3.4
2006-07,Western Australia,2.7
2006-08,Western Australia,3.5
2006-09,Western Australia,3.4
2006-10,Western Australia,3.5
2006-11,Western Australia,2.8
2006-12,Western Australia,3.1
2007-01,Western Australia,3.6
2007-02,Western Australia,3.5
2007-03,Western Australia,2.9
2007-04,Western Australia,2.8
2007-05,Western Australia,3.1
2007-06,Western Australia,3.7
2007-07,Western Australia,3
2007-08,Western Australia,3.1
2007-09,Western Australia,3.6
2007-10,Western Australia,3.4
2007-11,Western Australia,3
2007-12,Western Australia,3
2008-01,Western Australia,3.7
2008-02,Western Australia,3.2
2008-03,Western Australia,3.4
2008-04,Western Australia,3.3
2008-05,Western Australia,3.5
2008-06,Western Australia,3.2
2008-07,Western Australia,2.9
2008-08,Western Australia,2.6
2008-09,Western Australia,3
2008-10,Western Australia,2.2
2008-11,Western Australia,2.8
2008-12,Western Australia,2.7
2009-01,Western Australia,3.7
2009-02,Western Australia,4.9
2009-03,Western Australia,5.3
2009-04,Western Australia,4.7
2009-05,Western Australia,5.1
2009-06,Western Australia,5.4
2009-07,Western Australia,5.5
2009-08,Western Australia,5.2
2009-09,Western Australia,5.8
2009-10,Western Australia,4.6
2009-11,Western Australia,4.6
2009-12,Western Australia,4.6
2010-01,Western Australia,5.1
2010-02,Western Australia,5.8
2010-03,Western Australia,5.5
2010-04,Western Australia,4.8
2010-05,Western Australia,4.2
2010-06,Western Australia,4.1
2010-07,Western Australia,4.3
2010-08,Western Australia,4.4
2010-09,Western Australia,4.7
2010-10,Western Australia,4.3
2010-11,Western Australia,4
2010-12,Western Australia,3.9
2011-01,Western Australia,4.9
2011-02,Western Australia,4.7
2011-03,Western Australia,4.7
2011-04,Western Australia,4.1
2011-05,Western Australia,4.2
2011-06,Western Australia,4.2
2011-07,Western Australia,3.8
2011-08,Western Australia,4.3
2011-09,Western Australia,4.4
2011-10,Western Australia,3.9
2011-11,Western Australia,3.9
2011-12,Western Australia,3.8
2012-01,Western Australia,4.4
2012-02,Western Australia,4.3
2012-03,Western Australia,4.4
2012-04,Western Australia,3.8
2012-05,Western Australia,3.8
2012-06,Western Australia,3.5
2012-07,Western Australia,3.5
2012-08,Western Australia,3.8
2012-09,Western Australia,4.2
2012-10,Western Australia,4.4
2012-11,Western Australia,3.8
2012-12,Western Australia,4
2013-01,Western Australia,4.3
2013-02,Western Australia,5.1
2013-03,Western Australia,5.3
2013-04,Western Australia,5.4
2013-05,Western Australia,4.9
2013-06,Western Australia,4.6
2013-07,Western Australia,4.3
2013-08,Western Australia,4.8
2013-09,Western Australia,4.7
2013-10,Western Australia,3.9
2013-11,Western Australia,3.7
2013-12,Western Australia,4.2
2014-01,Western Australia,5.4
2014-02,Western Australia,6.5
2014-03,Western Australia,5.4
2014-04,Western Australia,5
2014-05,Western Australia,5
2014-06,Western Australia,4.9
2014-07,Western Australia,4.9
2014-08,Western Australia,4.8
2014-09,Western Australia,5
2014-10,Western Australia,4.9
2014-11,Western Australia,4.5
2014-12,Western Australia,5.5
2015-01,Western Australia,5.9
2015-02,Western Australia,6.4
2015-03,Western Australia,6
2015-04,Western Australia,5.9
2015-05,Western Australia,5
2015-06,Western Australia,5.8
2015-07,Western Australia,6.3
2015-08,Western Australia,5.9
2015-09,Western Australia,5.9
2015-10,Western Australia,6
2015-11,Western Australia,5.5
2015-12,Western Australia,6
2016-01,Western Australia,6.1
2016-02,Western Australia,6.6
2016-03,Western Australia,5.9
2016-04,Western Australia,5.7
2016-05,Western Australia,5.7
2016-06,Western Australia,5.6
2016-07,Western Australia,6.4
2016-08,Western Australia,6.2
2016-09,Western Australia,6
2016-10,Western Australia,6.1
2016-11,Western Australia,6
2016-12,Western Australia,6.5
2017-01,Western Australia,6.8
2017-02,Western Australia,6.7
2017-03,Western Australia,6.9
2017-04,Western Australia,5.9
2017-05,Western Australia,5.3
2017-06,Western Australia,5.4
2017-07,Western Australia,5.3
2017-08,Western Australia,5.8
2017-09,Western Australia,5.7
2017-10,Western Australia,5.9
2017-11,Western Australia,6
2017-12,Western Australia,5.7
2018-01,Western Australia,6
2018-02,Western Australia,6.7
2018-03,Western Australia,7.4
2018-04,Western Australia,6.5
2018-05,Western Australia,6
2018-06,Western Australia,5.7
2018-07,Western Australia,5.9
2018-08,Western Australia,6.4
2018-09,Western Australia,6
2018-10,Western Australia,5.5
2018-11,Western Australia,6.1
2018-12,Western Australia,6.2
2019-01,Western Australia,7.3
2019-02,Western Australia,6.3
2019-03,Western Australia,6.5
2019-04,Western Australia,6
2019-05,Western Australia,5.9
2019-06,Western Australia,5.3
2019-07,Western Australia,5.7
2019-08,Western Australia,5.7
2019-09,Western Australia,5.7
2019-10,Western Australia,5.3
2019-11,Western Australia,5.4
2019-12,Western Australia,5.2
2020-01,Western Australia,6.3
2020-02,Western Australia,5.5
2020-03,Western Australia,5.9
2020-04,Western Australia,6.1
2020-05,Western Australia,7.7
2020-06,Western Australia,7.9
2020-07,Western Australia,8
2020-08,Western Australia,6.8
2020-09,Western Australia,6.6
2020-10,Western Australia,6.4
2020-11,Western Australia,6.1
2020-12,Western Australia,6.1
2021-01,Western Australia,6.9
2021-02,Western Australia,6.4
2021-03,Western Australia,5.2
2021-04,Western Australia,5
2021-05,Western Australia,4.6
2021-06,Western Australia,4.9
2021-07,Western Australia,4.6
2021-08,Western Australia,4.5
2021-09,Western Australia,4.1
2021-10,Western Australia,3.8
2021-11,Western Australia,3.7
2021-12,Western Australia,3.3
2022-01,Western Australia,4.2
2022-02,Western Australia,4.2
2022-03,Western Australia,3.6
2022-04,Western Australia,3
2022-05,Western Australia,3.1
2022-06,Western Australia,3.3
2022-07,Western Australia,3.3
2022-08,Western Australia,3.3
2022-09,Western Australia,3.5
2022-10,Western Australia,3.5
2022-11,Western Australia,3.4
2022-12,Western Australia,3.4
2023-01,Western Australia,3.9
2023-02,Western Australia,4.2
2023-03,Western Australia,3.6
2023-04,Western Australia,3.7
2023-05,Western Australia,3.5
2023-06,Western Australia,3.5
2023-07,Western Australia,3.3
2023-08,Western Australia,3.8
2023-09,Western Australia,3.3
2023-10,Western Australia,3.7
2023-11,Western Australia,3.5
2023-12,Western Australia,3.9
2024-01,Western Australia,4.8
2024-02,Western Australia,3.8
2024-03,Western Australia,3.5
2024-04,Western Australia,4
2024-05,Western Australia,3.5
2024-06,Western Australia,3.7
2024-07,Western Australia,3.5
2024-08,Western Australia,4.1
2024-09,Western Australia,3.6
2024-10,Western Australia,3.9
2024-11,Western Australia,3
2024-12,Western Australia,3.1
2025-01,Western Australia,4.1
2025-02,Western Australia,3.6
2025-03,Western Australia,3.8
2025-04,Western Australia,4.2
2025-05,Western Australia,3.8
2025-06,Western Australia,4.1
2025-07,Western Australia,4
2025-08,Western Australia,4
1991-07,Tasmania,10.4
1991-08,Tasmania,10.9
1991-09,Tasmania,11.2
1991-10,Tasmania,10.3
1991-11,Tasmania,11.4
1991-12,Tasmania,11.8
1992-01,Tasmania,12.2
1992-02,Tasmania,11.7
1992-03,Tasmania,11.4
1992-04,Tasmania,10.4
1992-05,Tasmania,10.6
1992-06,Tasmania,11.7
1992-07,Tasmania,11.2
1992-08,Tasmania,11.1
1992-09,Tasmania,11.5
1992-10,Tasmania,11.9
1992-11,Tasmania,11.2
1992-12,Tasmania,12.6
1993-01,Tasmania,13.6
1993-02,Tasmania,12.9
1993-03,Tasmania,12.1
1993-04,Tasmania,12.4
1993-05,Tasmania,11.6
1993-06,Tasmania,13
1993-07,Tasmania,12.3
1993-08,Tasmania,13.2
1993-09,Tasmania,12.8
1993-10,Tasmania,12.6
1993-11,Tasmania,12.2
1993-12,Tasmania,12.1
1994-01,Tasmania,12.8
1994-02,Tasmania,12.3
1994-03,Tasmania,11.7
1994-04,Tasmania,11.5
1994-05,Tasmania,10.7
1994-06,Tasmania,10.3
1994-07,Tasmania,10.5
1994-08,Tasmania,10.4
1994-09,Tasmania,10.8
1994-10,Tasmania,10.1
1994-11,Tasmania,10.6
1994-12,Tasmania,10.8
1995-01,Tasmania,12.1
1995-02,Tasmania,11.9
1995-03,Tasmania,10.1
1995-04,Tasmania,9.7
1995-05,Tasmania,9.9
1995-06,Tasmania,9.9
1995-07,Tasmania,9
1995-08,Tasmania,10.1
1995-09,Tasmania,9.5
1995-10,Tasmania,9
1995-11,Tasmania,10.1
1995-12,Tasmania,10.2
1996-01,Tasmania,10.7
1996-02,Tasmania,10.2
1996-03,Tasmania,10.2
1996-04,Tasmania,9.5
1996-05,Tasmania,9.8
1996-06,Tasmania,10.3
1996-07,Tasmania,10.5
1996-08,Tasmania,10
1996-09,Tasmania,10.5
1996-10,Tasmania,10.3
1996-11,Tasmania,9.8
1996-12,Tasmania,11.3
1997-01,Tasmania,11.1
1997-02,Tasmania,11.7
1997-03,Tasmania,10.5
1997-04,Tasmania,10.5
1997-05,Tasmania,10
1997-06,Tasmania,10.9
1997-07,Tasmania,11
1997-08,Tasmania,10.9
1997-09,Tasmania,10.9
1997-10,Tasmania,11.1
1997-11,Tasmania,10.6
1997-12,Tasmania,11.7
1998-01,Tasmania,10.7
1998-02,Tasmania,10.8
1998-03,Tasmania,10.5
1998-04,Tasmania,9.3
1998-05,Tasmania,9.1
1998-06,Tasmania,9.8
1998-07,Tasmania,10.2
1998-08,Tasmania,11
1998-09,Tasmania,9.9
1998-10,Tasmania,10.1
1998-11,Tasmania,9.4
1998-12,Tasmania,10.6
1999-01,Tasmania,10.6
1999-02,Tasmania,10.5
1999-03,Tasmania,10
1999-04,Tasmania,8.5
1999-05,Tasmania,9.2
1999-06,Tasmania,8.8
1999-07,Tasmania,8.4
1999-08,Tasmania,8.5
1999-09,Tasmania,9.2
1999-10,Tasmania,9
1999-11,Tasmania,9.2
1999-12,Tasmania,8.8
2000-01,Tasmania,9.3
2000-02,Tasmania,9
2000-03,Tasmania,8.4
2000-04,Tasmania,8.4
2000-05,Tasmania,8.2
2000-06,Tasmania,8.4
2000-07,Tasmania,7.6
2000-08,Tasmania,9.4
2000-09,Tasmania,9
2000-10,Tasmania,8.5
2000-11,Tasmania,8.4
2000-12,Tasmania,8.7
2001-01,Tasmania,9.7
2001-02,Tasmania,9.2
2001-03,Tasmania,8.5
2001-04,Tasmania,8.9
2001-05,Tasmania,8.2
2001-06,Tasmania,8.8
2001-07,Tasmania,8.7
2001-08,Tasmania,10.2
2001-09,Tasmania,9.7
2001-10,Tasmania,8.8
2001-11,Tasmania,8.4
2001-12,Tasmania,8.5
2002-01,Tasmania,10.2
2002-02,Tasmania,9.5
2002-03,Tasmania,8.4
2002-04,Tasmania,7.9
2002-05,Tasmania,8.1
2002-06,Tasmania,8.2
2002-07,Tasmania,8.6
2002-08,Tasmania,8.8
2002-09,Tasmania,9.6
2002-10,Tasmania,8.2
2002-11,Tasmania,7.6
2002-12,Tasmania,9.1
2003-01,Tasmania,9.2
2003-02,Tasmania,10
2003-03,Tasmania,9.3
2003-04,Tasmania,7.4
2003-05,Tasmania,7.8
2003-06,Tasmania,8.2
2003-07,Tasmania,6.6
2003-08,Tasmania,7.6
2003-09,Tasmania,7.5
2003-10,Tasmania,7
2003-11,Tasmania,7
2003-12,Tasmania,6.5
2004-01,Tasmania,6.5
2004-02,Tasmania,7.4
2004-03,Tasmania,6.5
2004-04,Tasmania,5.7
2004-05,Tasmania,6
2004-06,Tasmania,6.5
2004-07,Tasmania,6.6
2004-08,Tasmania,6.6
2004-09,Tasmania,7.3
2004-10,Tasmania,6.4
2004-11,Tasmania,5.9
2004-12,Tasmania,5.8
2005-01,Tasmania,5.8
2005-02,Tasmania,6.4
2005-03,Tasmania,6.1
2005-04,Tasmania,6.1
2005-05,Tasmania,5.3
2005-06,Tasmania,5.6
2005-07,Tasmania,5.8
2005-08,Tasmania,6.1
2005-09,Tasmania,6.6
2005-10,Tasmania,7.4
2005-11,Tasmania,7
2005-12,Tasmania,6
2006-01,Tasmania,6.8
2006-02,Tasmania,7.5
2006-03,Tasmania,6.8
2006-04,Tasmania,5.7
2006-05,Tasmania,6.2
2006-06,Tasmania,6.3
2006-07,Tasmania,5.8
2006-08,Tasmania,6.2
2006-09,Tasmania,7
2006-10,Tasmania,6.4
2006-11,Tasmania,5.9
2006-12,Tasmania,5.7
2007-01,Tasmania,5.6
2007-02,Tasmania,6
2007-03,Tasmania,5.4
2007-04,Tasmania,4.7
2007-05,Tasmania,3.8
2007-06,Tasmania,4.9
2007-07,Tasmania,4.8
2007-08,Tasmania,5.4
2007-09,Tasmania,5.3
2007-10,Tasmania,6
2007-11,Tasmania,5.2
2007-12,Tasmania,5.3
2008-01,Tasmania,4.9
2008-02,Tasmania,5.6
2008-03,Tasmania,4.9
2008-04,Tasmania,3.5
2008-05,Tasmania,3.7
2008-06,Tasmania,3.8
2008-07,Tasmania,4.5
2008-08,Tasmania,3.9
2008-09,Tasmania,4
2008-10,Tasmania,3.9
2008-11,Tasmania,4.7
2008-12,Tasmania,5
2009-01,Tasmania,4.6
2009-02,Tasmania,5
2009-03,Tasmania,4.4
2009-04,Tasmania,5.4
2009-05,Tasmania,5.1
2009-06,Tasmania,4.2
2009-07,Tasmania,3.7
2009-08,Tasmania,5.1
2009-09,Tasmania,5.7
2009-10,Tasmania,5.9
2009-11,Tasmania,5.5
2009-12,Tasmania,5.5
2010-01,Tasmania,5.3
2010-02,Tasmania,7.4
2010-03,Tasmania,5.6
2010-04,Tasmania,5.4
2010-05,Tasmania,5.6
2010-06,Tasmania,6
2010-07,Tasmania,6.1
2010-08,Tasmania,6
2010-09,Tasmania,5.2
2010-10,Tasmania,5.4
2010-11,Tasmania,5.6
2010-12,Tasmania,5.2
2011-01,Tasmania,6.4
2011-02,Tasmania,6.5
2011-03,Tasmania,5.5
2011-04,Tasmania,4.8
2011-05,Tasmania,5.5
2011-06,Tasmania,5
2011-07,Tasmania,4.9
2011-08,Tasmania,5.2
2011-09,Tasmania,4.7
2011-10,Tasmania,5.3
2011-11,Tasmania,6.4
2011-12,Tasmania,6.4
2012-01,Tasmania,7.2
2012-02,Tasmania,8.1
2012-03,Tasmania,6.9
2012-04,Tasmania,7.4
2012-05,Tasmania,6.2
2012-06,Tasmania,6.9
2012-07,Tasmania,6
2012-08,Tasmania,6.7
2012-09,Tasmania,7.2
2012-10,Tasmania,6.6
2012-11,Tasmania,6.9
2012-12,Tasmania,7.4
2013-01,Tasmania,8.2
2013-02,Tasmania,7.6
2013-03,Tasmania,7.3
2013-04,Tasmania,7.1
2013-05,Tasmania,7
2013-06,Tasmania,8.7
2013-07,Tasmania,7.6
2013-08,Tasmania,8.1
2013-09,Tasmania,7.9
2013-10,Tasmania,7.5
2013-11,Tasmania,7.7
2013-12,Tasmania,7.6
2014-01,Tasmania,8.2
2014-02,Tasmania,8.2
2014-03,Tasmania,7.6
2014-04,Tasmania,7.2
2014-05,Tasmania,7
2014-06,Tasmania,7.2
2014-07,Tasmania,7.1
2014-08,Tasmania,7
2014-09,Tasmania,7.4
2014-10,Tasmania,6.4
2014-11,Tasmania,6.7
2014-12,Tasmania,6.6
2015-01,Tasmania,7.1
2015-02,Tasmania,6.8
2015-03,Tasmania,6.5
2015-04,Tasmania,7.1
2015-05,Tasmania,6.6
2015-06,Tasmania,6.4
2015-07,Tasmania,6.4
2015-08,Tasmania,6.3
2015-09,Tasmania,5.8
2015-10,Tasmania,6.3
2015-11,Tasmania,6.4
2015-12,Tasmania,6.7
2016-01,Tasmania,7
2016-02,Tasmania,7.1
2016-03,Tasmania,6.7
2016-04,Tasmania,6.1
2016-05,Tasmania,6.1
2016-06,Tasmania,6.5
2016-07,Tasmania,6
2016-08,Tasmania,7.2
2016-09,Tasmania,6.3
2016-10,Tasmania,6.2
2016-11,Tasmania,6.2
2016-12,Tasmania,6.4
2017-01,Tasmania,5.9
2017-02,Tasmania,6
2017-03,Tasmania,6.1
2017-04,Tasmania,5.6
2017-05,Tasmania,5.7
2017-06,Tasmania,5.4
2017-07,Tasmania,6.2
2017-08,Tasmania,6
2017-09,Tasmania,5.4
2017-10,Tasmania,6
2017-11,Tasmania,5.7
2017-12,Tasmania,6.1
2018-01,Tasmania,5.4
2018-02,Tasmania,6.3
2018-03,Tasmania,6.2
2018-04,Tasmania,5.8
2018-05,Tasmania,6.4
2018-06,Tasmania,5.6
2018-07,Tasmania,6.6
2018-08,Tasmania,5.9
2018-09,Tasmania,5.6
2018-10,Tasmania,5.1
2018-11,Tasmania,5.7
2018-12,Tasmania,6.1
2019-01,Tasmania,7.3
2019-02,Tasmania,7.1
2019-03,Tasmania,6.9
2019-04,Tasmania,6.9
2019-05,Tasmania,6.3
2019-06,Tasmania,6.7
2019-07,Tasmania,6.4
2019-08,Tasmania,6.7
2019-09,Tasmania,6.1
2019-10,Tasmania,5.7
2019-11,Tasmania,5.8
2019-12,Tasmania,5.6
2020-01,Tasmania,6.2
2020-02,Tasmania,5.2
2020-03,Tasmania,5.1
2020-04,Tasmania,6.1
2020-05,Tasmania,6.3
2020-06,Tasmania,6.9
2020-07,Tasmania,6.4
2020-08,Tasmania,6.5
2020-09,Tasmania,7.5
2020-10,Tasmania,7.6
2020-11,Tasmania,7.5
2020-12,Tasmania,6.9
2021-01,Tasmania,6.4
2021-02,Tasmania,6
2021-03,Tasmania,6
2021-04,Tasmania,6.1
2021-05,Tasmania,5.6
2021-06,Tasmania,4.7
2021-07,Tasmania,4.9
2021-08,Tasmania,5.5
2021-09,Tasmania,4.7
2021-10,Tasmania,4.8
2021-11,Tasmania,4.9
2021-12,Tasmania,3.9
2022-01,Tasmania,4
2022-02,Tasmania,4
2022-03,Tasmania,4.4
2022-04,Tasmania,4
2022-05,Tasmania,4.4
2022-06,Tasmania,4.4
2022-07,Tasmania,3.9
2022-08,Tasmania,5
2022-09,Tasmania,4.3
2022-10,Tasmania,3.9
2022-11,Tasmania,3.5
2022-12,Tasmania,3.5
2023-01,Tasmania,4.4
2023-02,Tasmania,3.7
2023-03,Tasmania,4.2
2023-04,Tasmania,3.9
2023-05,Tasmania,4.2
2023-06,Tasmania,3.6
2023-07,Tasmania,5
2023-08,Tasmania,4.9
2023-09,Tasmania,4.3
2023-10,Tasmania,4
2023-11,Tasmania,3.5
2023-12,Tasmania,3.3
2024-01,Tasmania,4.9
2024-02,Tasmania,4.4
2024-03,Tasmania,3.7
2024-04,Tasmania,3.9
2024-05,Tasmania,4
2024-06,Tasmania,3.6
2024-07,Tasmania,4.7
2024-08,Tasmania,5
2024-09,Tasmania,4.1
2024-10,Tasmania,4
2024-11,Tasmania,3.6
2024-12,Tasmania,4
2025-01,Tasmania,3.8
2025-02,Tasmania,4.1
2025-03,Tasmania,3.9
2025-04,Tasmania,3.5
2025-05,Tasmania,4
2025-06,Tasmania,3.6
2025-07,Tasmania,4.2
2025-08,Tasmania,3.7
1991-07,Northern Territory,8.4
1991-08,Northern Territory,8.4
1991-09,Northern Territory,8.4
1991-10,Northern Territory,9.8
1991-11,Northern Territory,9.1
1991-12,Northern Territory,8.9
1992-01,Northern Territory,10
1992-02,Northern Territory,9.7
1992-03,Northern Territory,8.5
1992-04,Northern Territory,5.7
1992-05,Northern Territory,6.6
1992-06,Northern Territory,6.7
1992-07,Northern Territory,8.4
1992-08,Northern Territory,5.2
1992-09,Northern Territory,7.4
1992-10,Northern Territory,6.5
1992-11,Northern Territory,8.7
1992-12,Northern Territory,8.9
1993-01,Northern Territory,8.5
1993-02,Northern Territory,10.4
1993-03,Northern Territory,9.9
1993-04,Northern Territory,7.8
1993-05,Northern Territory,7
1993-06,Northern Territory,7.6
1993-07,Northern Territory,7.4
1993-08,Northern Territory,7.8
1993-09,Northern Territory,6.4
1993-10,Northern Territory,5.9
1993-11,Northern Territory,7.3
1993-12,Northern Territory,6.9
1994-01,Northern Territory,8.6
1994-02,Northern Territory,9.1
1994-03,Northern Territory,6.8
1994-04,Northern Territory,7.4
1994-05,Northern Territory,6.2
1994-06,Northern Territory,6.2
1994-07,Northern Territory,6.9
1994-08,Northern Territory,7
1994-09,Northern Territory,8.2
1994-10,Northern Territory,7.4
1994-11,Northern Territory,7.2
1994-12,Northern Territory,7.1
1995-01,Northern Territory,8.4
1995-02,Northern Territory,8.4
1995-03,Northern Territory,6.8
1995-04,Northern Territory,6.2
1995-05,Northern Territory,5.9
1995-06,Northern Territory,5.8
1995-07,Northern Territory,7.5
1995-08,Northern Territory,7.1
1995-09,Northern Territory,6.9
1995-10,Northern Territory,7.4
1995-11,Northern Territory,6.8
1995-12,Northern Territory,6.7
1996-01,Northern Territory,7.1
1996-02,Northern Territory,7.3
1996-03,Northern Territory,8
1996-04,Northern Territory,8.1
1996-05,Northern Territory,6.4
1996-06,Northern Territory,4.8
1996-07,Northern Territory,6.5
1996-08,Northern Territory,5
1996-09,Northern Territory,5.6
1996-10,Northern Territory,4.6
1996-11,Northern Territory,4.8
1996-12,Northern Territory,5.1
1997-01,Northern Territory,7.8
1997-02,Northern Territory,7
1997-03,Northern Territory,5.8
1997-04,Northern Territory,6.2
1997-05,Northern Territory,5.5
1997-06,Northern Territory,5.1
1997-07,Northern Territory,4.3
1997-08,Northern Territory,5.1
1997-09,Northern Territory,4.9
1997-10,Northern Territory,3
1997-11,Northern Territory,3.9
1997-12,Northern Territory,4.7
1998-01,Northern Territory,5.1
1998-02,Northern Territory,7.1
1998-03,Northern Territory,6.7
1998-04,Northern Territory,5
1998-05,Northern Territory,4.8
1998-06,Northern Territory,4
1998-07,Northern Territory,4.9
1998-08,Northern Territory,3.9
1998-09,Northern Territory,4.7
1998-10,Northern Territory,2.8
1998-11,Northern Territory,4.1
1998-12,Northern Territory,3.2
1999-01,Northern Territory,3.7
1999-02,Northern Territory,3.4
1999-03,Northern Territory,5
1999-04,Northern Territory,3.3
1999-05,Northern Territory,3.3
1999-06,Northern Territory,3.1
1999-07,Northern Territory,3.5
1999-08,Northern Territory,2.8
1999-09,Northern Territory,3.7
1999-10,Northern Territory,3.3
1999-11,Northern Territory,2.8
1999-12,Northern Territory,4.5
2000-01,Northern Territory,5.2
2000-02,Northern Territory,5.6
2000-03,Northern Territory,3.4
2000-04,Northern Territory,4.4
2000-05,Northern Territory,4.5
2000-06,Northern Territory,3.9
2000-07,Northern Territory,4.1
2000-08,Northern Territory,3.3
2000-09,Northern Territory,4.7
2000-10,Northern Territory,3.7
2000-11,Northern Territory,5
2000-12,Northern Territory,5.9
2001-01,Northern Territory,6.6
2001-02,Northern Territory,6.4
2001-03,Northern Territory,4.6
2001-04,Northern Territory,6.2
2001-05,Northern Territory,7.5
2001-06,Northern Territory,7.3
2001-07,Northern Territory,6.6
2001-08,Northern Territory,7.1
2001-09,Northern Territory,5.8
2001-10,Northern Territory,7.1
2001-11,Northern Territory,7.5
2001-12,Northern Territory,7.3
2002-01,Northern Territory,9.3
2002-02,Northern Territory,6.7
2002-03,Northern Territory,7.3
2002-04,Northern Territory,6.5
2002-05,Northern Territory,4.7
2002-06,Northern Territory,4.9
2002-07,Northern Territory,4.4
2002-08,Northern Territory,5
2002-09,Northern Territory,4.1
2002-10,Northern Territory,5.2
2002-11,Northern Territory,4.2
2002-12,Northern Territory,5.3
2003-01,Northern Territory,6
2003-02,Northern Territory,5.6
2003-03,Northern Territory,5.9
2003-04,Northern Territory,6.6
2003-05,Northern Territory,7.1
2003-06,Northern Territory,5.8
2003-07,Northern Territory,4.4
2003-08,Northern Territory,4.8
2003-09,Northern Territory,6.6
2003-10,Northern Territory,5.7
2003-11,Northern Territory,4.3
2003-12,Northern Territory,5.2
2004-01,Northern Territory,5.4
2004-02,Northern Territory,5.6
2004-03,Northern Territory,4.7
2004-04,Northern Territory,4.3
2004-05,Northern Territory,6
2004-06,Northern Territory,6.2
2004-07,Northern Territory,6.2
2004-08,Northern Territory,5.8
2004-09,Northern Territory,7.1
2004-10,Northern Territory,4.9
2004-11,Northern Territory,5
2004-12,Northern Territory,5.4
2005-01,Northern Territory,6.8
2005-02,Northern Territory,6.6
2005-03,Northern Territory,5.8
2005-04,Northern Territory,5
2005-05,Northern Territory,5.8
2005-06,Northern Territory,4.8
2005-07,Northern Territory,5.4
2005-08,Northern Territory,4.1
2005-09,Northern Territory,4.8
2005-10,Northern Territory,4.3
2005-11,Northern Territory,4.9
2005-12,Northern Territory,6.6
2006-01,Northern Territory,7.8
2006-02,Northern Territory,7.8
2006-03,Northern Territory,5
2006-04,Northern Territory,5.7
2006-05,Northern Territory,5.8
2006-06,Northern Territory,4.8
2006-07,Northern Territory,4.3
2006-08,Northern Territory,4.2
2006-09,Northern Territory,3.2
2006-10,Northern Territory,2.6
2006-11,Northern Territory,3
2006-12,Northern Territory,2.3
2007-01,Northern Territory,2.4
2007-02,Northern Territory,4.3
2007-03,Northern Territory,4.6
2007-04,Northern Territory,5
2007-05,Northern Territory,5.3
2007-06,Northern Territory,4.6
2007-07,Northern Territory,4
2007-08,Northern Territory,4.4
2007-09,Northern Territory,3.8
2007-10,Northern Territory,3.9
2007-11,Northern Territory,5.8
2007-12,Northern Territory,4.9
2008-01,Northern Territory,5.4
2008-02,Northern Territory,5.4
2008-03,Northern Territory,4.5
2008-04,Northern Territory,4.2
2008-05,Northern Territory,3.4
2008-06,Northern Territory,3.6
2008-07,Northern Territory,2.2
2008-08,Northern Territory,2
2008-09,Northern Territory,2.7
2008-10,Northern Territory,3.1
2008-11,Northern Territory,4.5
2008-12,Northern Territory,3.4
2009-01,Northern Territory,5.1
2009-02,Northern Territory,4.1
2009-03,Northern Territory,4.4
2009-04,Northern Territory,4.4
